    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
           3,   350561816,  6.315357e+00,  3.986501e+00,   3.417853e-01,     0.000000e+00,                     5.710721e-01,   1.348718e+00,  1.985773e+00,          5.289526e+00,                     9.340862e-01,   1.182065e+00,  4.320630e+00,          6.214602e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,1,0,                  1,            11,                  1,             9,    46
       10944,   350561817,  5.043331e+00,  4.949775e+00,   2.110160e-01,     0.000000e+00,                     7.078233e-01,   8.227590e-01,  3.939135e+00,          6.230131e+00,                     2.376929e-01,  -1.090273e+00,  3.903116e+00,          1.586906e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,            10,    46
       14221,   350561818,  1.258026e+01,  1.245755e+01,   8.942872e+01,     0.000000e+00,                     6.088638e-01,  -3.755633e-01,  8.024454e-01,          1.948861e+00,                     4.382617e-01,   2.172708e-01,  3.049321e+00,          6.094610e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             4,    46
       25190,   350561819,  2.868440e+01,  1.048463e+01,   5.377987e+01,     0.000000e+00,                     8.331174e-01,   6.913456e-01,  4.099572e+00,          8.016179e-01,                     4.884521e-01,  -6.701869e-01,  3.016696e+00,          4.465306e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            14,                  1,             1,    46
       30775,   350561820,  5.609576e+00,  1.263000e+00,   4.594932e+01,     0.000000e+00,                     9.136341e-01,   4.815073e-01,  5.466073e+00,          2.894619e+00,                     3.566021e-01,  -1.123817e+00,  4.861919e+00,          1.093267e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            11,                  1,            15,    46
       38260,   350561821,  8.827988e+00,  4.560631e+00,   3.676544e+00,     0.000000e+00,                     3.241842e-01,  -8.586015e-01,  1.699940e+00,          6.170996e+00,                     1.159418e-01,  -6.331742e-03,  5.260485e-01,          2.163723e-02,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,             8,                  1,            15,    46
       45161,   350561822,  5.122860e+00,  1.247264e+00,   5.636093e-02,     0.000000e+00,                     4.534765e-01,   8.016226e-01,  4.565944e+00,          3.299062e+00,                     4.107555e-01,   3.461566e-01,  2.459358e+00,          1.924882e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             1,    46
      117104,   350561823,  7.322472e+00,  3.834722e+00,   6.414748e+01,     0.000000e+00,                     3.685503e-01,   4.130840e-01,  5.267151e+00,          1.469389e+00,                     6.075739e-01,   1.000569e+00,  4.075314e+00,          3.950169e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
