    INT     ,    INT     ,        FLOAT         ,         FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT      ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    , BOOL  ,     FLOAT      ,    FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      INT      ,      INT      ,        INT         ,        INT         ,     FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      BOOL      ,      BOOL      ,   BOOL   
     -      ,     -      ,        kms^-1        ,         kms^-1         ,         -          ,    kms^-1     ,        -        ,         -          ,       -        ,      -       ,    -     , State ,      Msol      ,     Msol     ,       Msol       ,     Msol     ,       Event       ,       -       ,     State     ,         -          ,         -          ,     Msol      ,       Msol       ,      Myr       ,       -       ,      -       ,     Rsol     ,     Rsol     ,     kms^-1      ,     State      ,     State      ,  Event   
     ID     ,    SEED    ,Drawn_Kick_Velocity_SN,Applied_Kick_Velocity_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Velocity(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Unbound,Mass_Total@CO_SN,   Mass_CP    ,Mass_CO_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,Stellar_Type_SN,Supernova_State,Stellar_Type_Prev_SN,Stellar_Type_Prev_CP,Mass_Core@CO_SN,Mass_He_Core@CO_SN,      Time      ,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,Systemic_Velocity,Hydrogen_Rich_SN,Hydrogen_Poor_SN,Runaway_CP
       14221,   350561818,          4.332417e+02,            4.212832e+02,        2.760252e-02,   1.575318e+04,     2.674275e+01,        1.948861e+00,   -3.755633e-01,  8.024454e-01,         1,1,    1.258026e+01,  1.245755e+01,      2.728248e+00,  1.372784e+00,0,             13,              1,                   5,                   4,   3.980784e+00,      3.980784e+00,  1.90273477e+01,   0.000000e+00,  1.028712e+03,  1.923004e+04, -1.416963e+01,     0.000000e+00,1,0,1
       25190,   350561819,          5.628074e+02,            1.637827e+02,        7.089899e-01,   2.540797e+04,     6.446113e+00,        8.016179e-01,    6.913456e-01,  4.099572e+00,         1,1,    2.868440e+01,  1.048463e+01,      8.754403e+00,  1.866993e+01,0,             14,              1,                   5,                   1,   1.146495e+01,      1.146495e+01,  6.95992534e+00,   0.000000e+00,  3.603700e+01,  1.156439e+04, -2.434915e+02,     0.000000e+00,1,0,1
      117104,   350561823,          3.939871e+01,            3.939871e+01,        0.000000e+00,   1.241641e+04,     3.173116e+00,        1.469389e+00,    4.130840e-01,  5.267151e+00,         2,1,    7.322472e+00,  3.834722e+00,      1.380426e+00,  1.260000e+00,0,             13,              1,                   6,                   1,   1.380426e+00,      1.380426e+00,  5.14411835e+01,   0.000000e+00,  2.257990e+01,  1.379376e+04, -4.765559e+02,     0.000000e+00,1,0,1
      315527,   350561826,          4.331723e+01,            4.331723e+01,        0.000000e+00,   3.943490e+04,     1.098449e+00,        3.205996e+00,    7.264057e-01,  1.047617e+00,         2,1,    7.770569e+00,  9.913658e-01,      1.380755e+00,  1.260000e+00,0,             13,              2,                   5,                  11,   2.146547e+00,      2.146547e+00,  7.25982049e+01,   0.000000e+00,  9.847491e+00,  1.073887e+03, -1.097911e+02,     0.000000e+00,1,0,0
      342230,   350561829,          3.575515e+02,            2.067778e+02,        4.216840e-01,   1.685786e+04,     1.226596e+01,        6.104715e+00,   -2.259799e-02,  1.867890e+00,         1,1,    2.195265e+01,  8.758692e+00,      6.498612e+00,  9.060053e+00,0,             14,              1,                   5,                   1,   8.133636e+00,      8.133636e+00,  9.05399221e+00,   0.000000e+00,  5.371372e+01,  2.059747e+04, -8.350478e+01,     0.000000e+00,1,0,1
      346911,   350561830,          8.209791e+02,            6.033060e+02,        2.651385e-01,   1.995851e+05,     3.022800e+00,        5.314881e+00,    3.848755e-01,  4.210342e+00,         1,1,    6.397385e+00,  3.292536e+01,      4.596277e+00,  2.266303e+00,1,             13,              1,                   8,                   1,   4.596277e+00,      6.397385e+00,  8.97030677e+00,   0.000000e+00,  3.308018e+00,  1.881514e+02, -2.979744e+01,     0.000000e+00,0,1,1
      644165,   350561834,          3.207912e+02,            3.113496e+02,        2.943237e-02,   2.871298e+04,     1.084351e+01,        2.794533e+00,    1.094163e+00,  4.214203e+00,         1,1,    1.272321e+01,  2.791169e+00,      2.778311e+00,  1.393514e+00,0,             13,              1,                   5,                   1,   4.038919e+00,      4.038919e+00,  1.86934728e+01,   0.000000e+00,  3.840663e+02,  3.586724e+03, -8.539692e+00,     0.000000e+00,1,0,1
      762323,   350561838,          3.778147e+02,            2.269343e+02,        3.993502e-01,   3.746481e+05,     6.057265e-01,        1.597475e+00,    7.284254e-01,  3.704444e+00,         1,0,    8.179180e+00,  6.089333e+00,      5.972840e+00,  3.642482e+00,1,             14,              1,                   8,                   1,   5.972840e+00,      8.179180e+00,  7.49888706e+00,   0.000000e+00,  3.300220e-01,  1.937544e+01,  1.734817e+01,     6.913061e+01,0,1,0
