    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
           3,  4266599659,  7.946609e+00,  3.770989e+00,   7.042822e+01,     0.000000e+00,                     8.435670e-01,   4.928203e-01,  2.416786e+00,          4.796921e-01,                     1.550835e-01,  -1.154232e+00,  4.864479e+00,          5.513704e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
        5600,  4266599660,  4.057547e+01,  1.675291e+01,   6.108380e+00,     0.000000e+00,                     6.048263e-01,  -3.873177e-01,  3.667121e+00,          1.129060e+00,                     9.498487e-01,  -7.386823e-01,  4.846935e+00,          2.255865e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            14,                  1,            13,    46
       12089,  4266599661,  1.382698e+01,  1.095766e+01,   2.122297e+01,     0.000000e+00,                     6.747681e-01,  -7.829847e-03,  6.018542e+00,          3.141704e+00,                     1.317729e-01,   1.367407e+00,  2.260270e+00,          2.896614e-02,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
       17534,  4266599662,  5.941104e+00,  3.186501e+00,   1.389757e+00,     0.000000e+00,                     3.816415e-01,   9.423520e-01,  1.132351e+00,          5.737493e+00,                     4.370505e-02,  -5.395658e-01,  1.687545e+00,          1.509847e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            10,                  1,            15,    46
       20147,  4266599663,  5.018600e+00,  1.592059e+00,   1.182848e-01,     0.000000e+00,                     3.874764e-01,   1.039287e+00,  8.424728e-01,          2.148678e+00,                     8.240818e-01,  -7.758249e-02,  2.937381e+00,          3.164927e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            10,    46
       25920,  4266599664,  7.340954e+00,  6.903323e+00,   2.321409e-01,     0.000000e+00,                     1.595239e-01,  -4.782023e-01,  1.090196e-01,          4.255540e+00,                     5.453236e-01,   1.110177e+00,  2.467953e+00,          4.106639e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             7,    46
       28997,  4266599665,  6.299153e+00,  5.121112e+00,   1.177391e-01,     0.000000e+00,                     3.895979e-01,   6.404325e-01,  5.489914e+00,          6.003486e+00,                     6.085074e-01,   6.117465e-01,  1.901053e-01,          5.213599e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             7,    46
       31634,  4266599666,  1.806399e+01,  1.552674e+01,   7.591396e+00,     0.000000e+00,                     4.942528e-01,  -1.142304e+00,  3.370452e+00,          5.445058e-01,                     6.575808e-01,  -1.695903e-01,  3.384015e-01,          3.894272e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
