    INT     ,    INT     ,        FLOAT         ,         FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT      ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    , BOOL  ,     FLOAT      ,    FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      INT      ,      INT      ,        INT         ,        INT         ,     FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      BOOL      ,      BOOL      ,   BOOL   
     -      ,     -      ,        kms^-1        ,         kms^-1         ,         -          ,    kms^-1     ,        -        ,         -          ,       -        ,      -       ,    -     , State ,      Msol      ,     Msol     ,       Msol       ,     Msol     ,       Event       ,       -       ,     State     ,         -          ,         -          ,     Msol      ,       Msol       ,      Myr       ,       -       ,      -       ,     Rsol     ,     Rsol     ,     kms^-1      ,     State      ,     State      ,  Event   
     ID     ,    SEED    ,Drawn_Kick_Velocity_SN,Applied_Kick_Velocity_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Velocity(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Unbound,Mass_Total@CO_SN,   Mass_CP    ,Mass_CO_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,Stellar_Type_SN,Supernova_State,Stellar_Type_Prev_SN,Stellar_Type_Prev_CP,Mass_Core@CO_SN,Mass_He_Core@CO_SN,      Time      ,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,Systemic_Velocity,Hydrogen_Rich_SN,Hydrogen_Poor_SN,Runaway_CP
           3,  4266599659,          6.853663e+01,            6.853663e+01,        0.000000e+00,   1.214379e+04,     5.643758e+00,        4.796921e-01,    4.928203e-01,  2.416786e+00,         2,1,    7.946609e+00,  3.770989e+00,      1.382790e+00,  1.260000e+00,0,             13,              1,                   5,                   1,   2.208966e+00,      2.208966e+00,  4.30464442e+01,   0.000000e+00,  4.401507e+01,  1.514432e+04, -2.648720e+02,     0.000000e+00,1,0,1
        5600,  4266599660,          4.313549e+02,            6.495333e+00,        9.849420e-01,   8.379113e+04,     7.751814e-02,        1.129060e+00,   -3.873177e-01,  3.667121e+00,         1,0,    1.449168e+01,  1.717492e+01,      1.088039e+01,  1.286509e+01,1,             14,              1,                   8,                   1,   1.088039e+01,      1.449168e+01,  5.36208154e+00,   0.000000e+00,  8.014025e-02,  8.596570e+02,  8.031001e+02,     1.681565e+00,0,1,0
        5600,  4266599660,          6.985688e+02,            4.979111e+02,        2.872411e-01,   5.351163e+05,     9.304727e-01,        2.255865e+00,   -7.386823e-01,  4.846935e+00,         1,1,    3.315070e+00,  1.286514e+01,      3.315070e+00,  1.612519e+00,1,             13,              2,                   8,                  14,   3.315070e+00,      4.769683e+00,  1.24064599e+01,   0.000000e+00,  1.400274e+00,  1.173798e+01, -2.359589e+01,     0.000000e+00,0,1,0
       12089,  4266599661,          4.654132e+02,            4.464159e+02,        4.081812e-02,   3.217338e+04,     1.387532e+01,        3.141704e+00,   -7.829847e-03,  6.018542e+00,         1,1,    1.382698e+01,  1.095766e+01,      3.130820e+00,  1.538001e+00,0,             13,              1,                   5,                   1,   4.493954e+00,      4.493954e+00,  1.64606613e+01,   0.000000e+00,  4.227397e+02,  4.563618e+03, -1.049174e+01,     0.000000e+00,1,0,1
       31634,  4266599666,          3.820612e+02,            3.064754e+02,        1.978368e-01,   2.571391e+04,     1.191866e+01,        5.445058e-01,   -1.142304e+00,  3.370452e+00,         1,1,    5.145906e+00,  1.640106e+01,      3.628426e+00,  1.814053e+00,1,             13,              1,                   8,                   1,   3.628426e+00,      5.145906e+00,  1.14661234e+01,   0.000000e+00,  1.560674e+02,  6.211117e+03, -3.986315e+01,     0.000000e+00,0,1,1
       35479,  4266599667,          1.753896e+02,            1.351949e+02,        2.291742e-01,   3.134013e+04,     4.313794e+00,        1.263552e+00,   -7.195937e-01,  2.851489e+00,         1,1,    1.897796e+01,  1.230095e+01,      4.965629e+00,  4.816199e+00,0,             14,              1,                   5,                   1,   6.747175e+00,      6.747175e+00,  1.07072152e+01,   0.000000e+00,  2.270476e+01,  6.069738e+03, -2.701188e+02,     0.000000e+00,1,0,1
       82028,  4266599672,          4.169379e+02,            3.729682e+02,        1.054585e-01,   9.478867e+04,     3.934734e+00,        3.524496e+00,    9.531711e-02,  3.844131e+00,         1,1,    3.096480e+00,  1.597236e+01,      2.043754e+00,  1.277584e+00,1,             13,              1,                   8,                   1,   2.043754e+00,      3.096480e+00,  1.87303302e+01,   0.000000e+00,  6.673587e+00,  4.045120e+02, -4.208890e+01,     0.000000e+00,0,1,1
      216440,  4266599676,          6.675253e+02,            5.625372e+02,        1.572796e-01,   1.425990e+05,     3.944889e+00,        5.830266e+00,   -5.252867e-02,  3.897177e+00,         1,1,    4.517741e+00,  1.370745e+00,      3.143626e+00,  1.543202e+00,1,             13,              2,                   8,                  11,   3.143626e+00,      4.517741e+00,  3.22382529e+01,   0.000000e+00,  1.195055e+01,  5.519386e+01, -2.776379e+00,     0.000000e+00,0,1,0
