    INT     ,    INT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     INT      ,    FLOAT     ,     INT      ,     FLOAT      ,     FLOAT      ,   INT   ,   INT   ,       BOOL       ,    BOOL     ,    BOOL     
     -      ,     -      ,      AU      ,       -        ,     Msol     ,      -       ,     Msol     ,      -       ,      Myr       ,      Myr       ,    -    ,    -    ,      State       ,    Event    ,    Event    
     ID     ,    SEED    ,Separation@DCO,Eccentricity@DCO,    Mass_1    ,Stellar_Type_1,    Mass_2    ,Stellar_Type_2,Coalescence_Time,      Time      ,MT_Case_1,MT_Case_2,Merges_Hubble_Time,Recycled_NS_1,Recycled_NS_2
     2877787,  4266599747,  2.791247e-01,    8.071028e-01,  1.260000e+00,            13,  1.277584e+00,            13,  1.25187423e+07,  3.39917022e+01,        2,        2,0,0,0
     3002680,  4266599758,  9.276152e+01,    1.042563e-01,  3.974490e+01,            14,  3.313994e+01,            14,  2.39475056e+14,  5.72169374e+00,        0,        0,0,0,0
     3849675,  4266599765,  1.949039e+00,    8.208542e-02,  1.509623e+01,            14,  1.549022e+01,            14,  6.35879270e+08,  5.75786961e+00,        2,        2,0,0,0
     8260007,  4266599931,  5.154554e+01,    3.210116e-02,  4.233313e+01,            14,  3.391506e+01,            14,  2.07533712e+13,  5.63155185e+00,        0,        0,0,0,0
    10679765,  4266600013,  2.273327e-01,    1.866288e-01,  1.120568e+01,            14,  7.026927e+00,            14,  5.28221772e+05,  7.97560226e+00,        2,        2,0,0,0
    13464455,  4266600085,  4.504768e-02,    5.497074e-01,  4.872405e+00,            14,  1.823182e+00,            13,  6.22140844e+03,  1.18149724e+01,        2,        2,1,0,0
    14170068,  4266600102,  3.590674e+01,    1.104536e-01,  1.549643e+01,            14,  4.249278e+01,            14,  1.34470869e+13,  5.27353766e+00,        2,        0,0,0,0
    18675594,  4266600252,  4.076490e+01,    7.349001e-02,  4.106337e+01,            14,  3.863330e+01,            14,  6.91955036e+12,  5.18394701e+00,        0,        0,0,0,0
    22421546,  4266600342,  3.529350e-01,    8.561665e-01,  7.861020e+00,            14,  3.462654e+00,            14,  1.73185507e+05,  8.17030214e+00,        2,        2,0,0,0
    25550401,  4266600401,  5.150499e+00,    6.750139e-02,  1.570433e+01,            14,  1.571769e+01,            14,  2.88255791e+10,  5.44803558e+00,        2,        2,0,0,0
    26116696,  4266600420,  5.927770e-02,    1.929690e-01,  6.591290e+00,            14,  5.004630e+00,            14,  9.08250276e+03,  8.35227740e+00,        2,        2,1,0,0
    27099594,  4266600440,  4.859701e-02,    1.532056e-01,  1.537311e+01,            14,  4.030071e+00,            14,  1.37492909e+03,  7.54420729e+00,        2,        2,1,0,0
    28016158,  4266600464,  3.687833e+01,    3.285547e-02,  3.963736e+01,            14,  3.660425e+01,            14,  5.38165145e+12,  5.35758441e+00,        0,        0,0,0,0
    28895232,  4266600484,  5.944655e-01,    1.100398e-01,  1.868189e+01,            14,  2.956118e+01,            14,  1.44878741e+06,  4.88276310e+00,        2,        2,0,0,0
    30324302,  4266600504,  2.036351e-02,    5.964748e-01,  4.044234e+00,            14,  1.835000e+00,            13,  2.68247604e+02,  1.22331566e+01,        2,        2,1,0,0
    31005894,  4266600520,  2.638758e-02,    2.676331e-01,  6.588633e+00,            14,  2.975344e+00,            13,  6.38119818e+02,  7.98609283e+00,        2,        0,1,0,0
    34219702,  4266600590,  7.355996e+01,    5.953080e-03,  3.753111e+01,            14,  3.385143e+01,            14,  1.04292095e+14,  5.63874260e+00,        0,        0,0,0,0
    34305619,  4266600603,  1.146775e-01,    8.339611e-02,  1.496748e+01,            14,  2.228069e+01,            14,  4.38572886e+03,  5.72731651e+00,        2,        2,1,0,0
