    INT     ,    INT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     INT      ,    FLOAT     ,     INT      ,     FLOAT      ,     FLOAT      ,   INT   ,   INT   ,       BOOL       ,    BOOL     ,    BOOL     
     -      ,     -      ,      AU      ,       -        ,     Msol     ,      -       ,     Msol     ,      -       ,      Myr       ,      Myr       ,    -    ,    -    ,      State       ,    Event    ,    Event    
     ID     ,    SEED    ,Separation@DCO,Eccentricity@DCO,    Mass_1    ,Stellar_Type_1,    Mass_2    ,Stellar_Type_2,Coalescence_Time,      Time      ,MT_Case_1,MT_Case_2,Merges_Hubble_Time,Recycled_NS_1,Recycled_NS_2
     7628312,   454911708,  1.326319e-02,    2.728210e-01,  1.855203e+00,            13,  2.345405e+00,            13,  4.13247467e+02,  1.28421435e+01,        2,        0,1,0,0
     9081226,   454911744,  1.253510e+00,    4.893831e-01,  9.265382e+00,            14,  1.763699e+01,            14,  6.81805663e+07,  5.83576137e+00,        2,        2,0,0,0
    11759805,   454911797,  2.929208e+01,    2.376146e-01,  1.245324e+01,            14,  3.297355e+01,            14,  1.03230856e+13,  6.07242495e+00,        2,        0,0,0,0
    12250422,   454911808,  4.826737e+01,    9.672980e-02,  1.586031e+01,            14,  3.519416e+01,            14,  5.94670116e+13,  5.67148890e+00,        2,        0,0,0,0
    12681249,   454911821,  5.788774e+01,    7.326922e-02,  3.209989e+01,            14,  3.132476e+01,            14,  5.57734237e+13,  5.95660343e+00,        0,        0,0,0,0
    21142892,   454912050,  4.570884e+01,    6.897681e-02,  1.767764e+01,            14,  3.352341e+01,            14,  4.56837999e+13,  5.85608553e+00,        2,        0,0,0,0
    21854266,   454912076,  9.012974e-02,    7.899794e-01,  4.252633e+00,            14,  1.513781e+00,            13,  1.93140311e+04,  1.38674953e+01,        2,        2,0,0,0
    22677417,   454912123,  3.671595e+00,    9.369603e-01,  4.484888e+00,            14,  1.155285e+01,            14,  5.46907566e+07,  7.34220330e+00,        2,        2,0,0,0
    25340844,   454912188,  4.102006e-01,    8.329078e-01,  1.332324e+01,            14,  1.640905e+01,            14,  2.37505067e+04,  5.78924427e+00,        2,        2,0,0,0
    29173658,   454912316,  1.057331e+02,    7.162676e-01,  3.448404e+01,            14,  2.831096e+01,            14,  5.31848501e+13,  6.15655210e+00,        0,        0,0,0,0
    30068722,   454912346,  3.450234e+01,    8.665711e-02,  6.371987e+00,            14,  3.475379e+01,            14,  4.89136983e+13,  6.35294848e+00,        2,        0,0,0,0
    33130519,   454912483,  7.504575e-03,    2.953114e-01,  1.369706e+00,            13,  1.524914e+00,            13,  1.21766538e+02,  1.89706267e+01,        2,        2,1,1,0
