    INT     ,    INT     ,        FLOAT         ,         FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT      ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    , BOOL  ,     FLOAT      ,    FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      INT      ,      INT      ,        INT         ,        INT         ,     FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      BOOL      ,      BOOL      ,   BOOL   
     -      ,     -      ,        kms^-1        ,         kms^-1         ,         -          ,    kms^-1     ,        -        ,         -          ,       -        ,      -       ,    -     , State ,      Msol      ,     Msol     ,       Msol       ,     Msol     ,       Event       ,       -       ,     State     ,         -          ,         -          ,     Msol      ,       Msol       ,      Myr       ,       -       ,      -       ,     Rsol     ,     Rsol     ,     kms^-1      ,     State      ,     State      ,  Event   
     ID     ,    SEED    ,Drawn_Kick_Velocity_SN,Applied_Kick_Velocity_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Velocity(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Unbound,Mass_Total@CO_SN,   Mass_CP    ,Mass_CO_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,Stellar_Type_SN,Supernova_State,Stellar_Type_Prev_SN,Stellar_Type_Prev_CP,Mass_Core@CO_SN,Mass_He_Core@CO_SN,      Time      ,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,Systemic_Velocity,Hydrogen_Rich_SN,Hydrogen_Poor_SN,Runaway_CP
           3,   454911551,          4.995253e+02,            3.879731e+02,        2.233164e-01,   8.381740e+04,     4.628789e+00,        1.757482e+00,    5.567621e-01,  1.182771e+00,         1,1,    5.700833e+00,  1.206457e+01,      4.057119e+00,  1.986742e+00,1,             13,              1,                   8,                   1,   4.057119e+00,      5.700833e+00,  9.98299423e+00,   0.000000e+00,  2.154646e+01,  4.819772e+02, -1.600559e+01,     0.000000e+00,0,1,1
      128222,   454911556,          5.335033e+02,            4.266447e+02,        2.002961e-01,   3.078787e+05,     1.385756e+00,        2.531769e+00,   -3.199170e-01,  3.369810e+00,         1,0,    5.209670e+00,  6.957525e+00,      3.677564e+00,  1.831510e+00,1,             13,              1,                   8,                   1,   3.677564e+00,      5.209670e+00,  1.07309481e+01,   0.000000e+00,  6.628979e-01,  2.446533e+01,  1.625722e+01,     3.684743e+01,0,1,0
      132642,   454911558,          2.951802e+02,            2.872618e+02,        2.682569e-02,   1.687421e+04,     1.702372e+01,        3.170547e+00,   -6.068260e-01,  1.206378e+00,         1,1,    8.655541e+00,  3.972365e+00,      1.557772e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   2.464393e+00,      2.464393e+00,  3.64556455e+01,   0.000000e+00,  4.750725e+02,  8.452872e+03, -1.171624e+01,     0.000000e+00,1,0,1
      154606,   454911562,          2.398514e+02,            1.821006e+02,        2.407775e-01,   2.507870e+04,     7.261167e+00,        4.178577e+00,   -7.204092e-01,  3.256975e+00,         1,1,    6.006506e+00,  2.038521e+01,      4.295464e+00,  2.101879e+00,1,             13,              1,                   8,                   4,   4.295464e+00,      6.006506e+00,  9.86830844e+00,   0.000000e+00,  4.910176e+01,  7.997932e+03, -1.654886e+02,     0.000000e+00,0,1,1
      362943,   454911569,          4.104719e+02,            4.022649e+02,        1.999408e-02,   3.787379e+04,     1.062119e+01,        1.712491e+00,    1.146110e-01,  5.905325e+00,         1,1,    1.120296e+01,  1.052182e+01,      2.303367e+00,  1.277584e+00,0,             13,              1,                   5,                   4,   3.430525e+00,      3.430525e+00,  2.29724022e+01,   0.000000e+00,  2.303452e+02,  2.886676e+03, -1.184728e+01,     0.000000e+00,1,0,1
      376525,   454911571,          3.551055e+01,            3.551055e+01,        0.000000e+00,   1.660554e+04,     2.138476e+00,        2.391040e+00,   -1.076117e-01,  4.989928e+00,         2,1,    7.431126e+00,  7.411063e+00,      1.380262e+00,  1.260000e+00,0,             13,              1,                   6,                   6,   1.380262e+00,      1.380262e+00,  4.98320378e+01,   0.000000e+00,  6.536762e+00,  1.025916e+04, -1.076103e+03,     0.000000e+00,1,0,1
      404129,   454911575,          6.733267e+02,            6.563713e+02,        2.518155e-02,   3.299867e+04,     1.989084e+01,        8.137224e-01,   -1.237933e+00,  4.797426e+00,         1,1,    9.142324e+00,  3.211505e+00,      1.694236e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   2.643375e+00,      2.643375e+00,  3.28915537e+01,   0.000000e+00,  1.034337e+03,  2.162364e+03, -1.979110e+00,     0.000000e+00,1,0,1
      847788,   454911580,          6.953109e+02,            6.604348e+02,        5.015903e-02,   3.795245e+04,     1.740164e+01,        6.105442e+00,    6.476827e-01,  5.552467e+00,         1,1,    1.489472e+01,  1.190836e+01,      3.473828e+00,  1.676192e+00,0,             13,              1,                   5,                   1,   4.944084e+00,      4.944084e+00,  1.47664925e+01,   0.000000e+00,  5.482612e+02,  3.546704e+03, -5.557102e+00,     0.000000e+00,1,0,1
