    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
           3,   454911551,  2.032968e+01,  1.116504e+01,   1.236989e+00,     0.000000e+00,                     7.377159e-01,   5.567621e-01,  1.182771e+00,          1.757482e+00,                     5.063777e-01,  -1.313792e+00,  6.255782e+00,          7.130107e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
        2424,   454911552,  7.356387e+00,  3.716935e+00,   5.398174e+00,     0.000000e+00,                     5.913209e-01,   4.656013e-01,  2.099374e+00,          6.030106e+00,                     6.610701e-01,   8.726227e-01,  1.463174e+00,          6.519726e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            12,                  1,            15,    46
       10193,   454911553,  6.624149e+00,  1.375761e+00,   4.420160e-02,     0.000000e+00,                     8.377171e-01,  -9.764486e-01,  2.576802e+00,          1.162413e+00,                     4.446156e-02,   5.578325e-01,  5.166906e+00,          6.217253e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             1,    46
      110820,   454911554,  6.302970e+00,  3.988447e+00,   7.189057e-01,     0.000000e+00,                     3.158552e-01,   2.388729e-02,  5.079858e+00,          7.353895e-01,                     3.481974e-01,  -9.191463e-02,  2.402133e+00,          3.936234e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            11,    46
      125105,   454911555,  5.518319e+00,  4.135258e+00,   1.278193e-01,     0.000000e+00,                     7.027752e-01,  -5.977509e-01,  4.947546e+00,          1.389136e+00,                     6.635154e-01,   1.111225e+00,  4.439302e+00,          1.764395e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,            10,    46
      128222,   454911556,  1.915325e+01,  6.368073e+00,   2.651185e-01,     0.000000e+00,                     7.924773e-01,  -3.199170e-01,  3.369810e+00,          2.531769e+00,                     3.879119e-01,  -5.981391e-01,  4.248276e+00,          4.674234e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            13,                  1,            15,    46
      130401,   454911557,  7.897200e+00,  2.586141e+00,   1.316172e+00,     0.000000e+00,                     6.934604e-01,  -1.245576e+00,  9.779705e-01,          2.627897e+00,                     7.761733e-01,  -8.026985e-01,  5.797303e+00,          1.893776e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            10,                  1,            15,    46
      132642,   454911558,  8.655541e+00,  3.972365e+00,   3.930983e+01,     0.000000e+00,                     2.930821e-01,  -6.068260e-01,  1.206378e+00,          3.170547e+00,                     2.864751e-01,   9.098134e-01,  9.750583e-01,          5.224606e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
