    INT     ,    INT     ,        FLOAT         ,         FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT      ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    , BOOL  ,     FLOAT      ,    FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      INT      ,      INT      ,        INT         ,        INT         ,     FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      BOOL      ,      BOOL      ,   BOOL   
     -      ,     -      ,        kms^-1        ,         kms^-1         ,         -          ,    kms^-1     ,        -        ,         -          ,       -        ,      -       ,    -     , State ,      Msol      ,     Msol     ,       Msol       ,     Msol     ,       Event       ,       -       ,     State     ,         -          ,         -          ,     Msol      ,       Msol       ,      Myr       ,       -       ,      -       ,     Rsol     ,     Rsol     ,     kms^-1      ,     State      ,     State      ,  Event   
     ID     ,    SEED    ,Drawn_Kick_Velocity_SN,Applied_Kick_Velocity_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Velocity(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Unbound,Mass_Total@CO_SN,   Mass_CP    ,Mass_CO_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,Stellar_Type_SN,Supernova_State,Stellar_Type_Prev_SN,Stellar_Type_Prev_CP,Mass_Core@CO_SN,Mass_He_Core@CO_SN,      Time      ,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,Systemic_Velocity,Hydrogen_Rich_SN,Hydrogen_Poor_SN,Runaway_CP
           3,  1797223313,          2.857061e+02,            1.006325e+02,        6.477761e-01,   2.713785e+04,     3.708198e+00,        4.776582e-02,   -3.420008e-01,  2.525079e+00,         1,1,    2.735680e+01,  1.734045e+01,      8.278382e+00,  1.639277e+01,0,             14,              1,                   5,                   1,   1.078840e+01,      1.078840e+01,  7.26162054e+00,   0.000000e+00,  8.173195e+00,  1.156777e+04, -1.157746e+03,     0.000000e+00,1,0,1
      465950,  1797223318,          4.523924e+02,            3.955945e+02,        1.255500e-01,   6.507119e+04,     6.079411e+00,        3.479829e+00,   -5.231953e-01,  9.204873e-01,         1,1,    2.792991e+00,  7.394101e+00,      1.809009e+00,  1.277584e+00,1,             13,              1,                   8,                   1,   1.809009e+00,      2.792991e+00,  2.11476544e+01,   0.000000e+00,  3.969842e+01,  4.585562e+02, -9.155803e+00,     0.000000e+00,0,1,1
      489769,  1797223321,          1.268904e+02,            1.068051e+02,        1.582884e-01,   9.359781e+04,     1.141107e+00,        5.058950e+00,    1.126115e+00,  2.297273e+00,         1,0,    2.463516e+00,  1.045509e+01,      1.554493e+00,  1.277584e+00,1,             13,              1,                   8,                   1,   1.554493e+00,      2.463516e+00,  2.46699646e+01,   0.000000e+00,  8.332565e-01,  2.810634e+02,  1.534159e+03,     1.195809e+01,0,1,0
      927185,  1797223327,          3.284097e+02,            2.999982e+02,        8.651236e-02,   1.523826e+05,     1.968717e+00,        1.611201e+00,   -1.188574e-01,  3.032896e+00,         1,0,    3.736645e+00,  1.370981e+00,      2.538902e+00,  1.293890e+00,1,             13,              2,                   8,                  11,   2.538902e+00,      3.736645e+00,  3.51953965e+01,   0.000000e+00,  9.010609e-01,  4.192455e+01,  4.034176e+02,     1.088169e+02,0,1,0
      963800,  1797223330,          5.997674e+01,            5.997674e+01,        0.000000e+00,   1.152085e+04,     5.205932e+00,        2.418357e+00,    3.672974e-01,  2.420756e+00,         2,1,    7.586818e+00,  4.290901e+00,      1.380197e+00,  1.260000e+00,0,             13,              1,                   6,                   1,   1.380197e+00,      1.380197e+00,  4.75563736e+01,   0.000000e+00,  3.094741e+01,  1.705627e+04, -4.012235e+02,     0.000000e+00,1,0,1
      978498,  1797223332,          2.317727e+02,            2.264276e+02,        2.306196e-02,   3.724427e+04,     6.079527e+00,        5.841293e+00,    1.523070e-01,  4.551516e+00,         1,1,    9.872289e+00,  4.820852e+00,      1.906022e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   2.916939e+00,      2.916939e+00,  2.85962694e+01,   0.000000e+00,  1.323462e+01,  2.018904e+03, -2.380178e+01,     0.000000e+00,1,0,1
     1041887,  1797223339,          4.838785e+02,            3.911447e+02,        1.916469e-01,   2.751601e+04,     1.421517e+01,        4.221420e+00,   -8.623945e-01,  2.714958e+00,         1,1,    1.839442e+01,  5.671902e+00,      4.662940e+00,  4.118484e+00,0,             14,              1,                   5,                   1,   6.482077e+00,      6.482077e+00,  1.11252993e+01,   0.000000e+00,  4.384557e+02,  6.058413e+03, -1.329220e+01,     0.000000e+00,1,0,1
     1046728,  1797223340,          6.083154e+02,            0.000000e+00,        1.000000e+00,   2.300789e+04,     0.000000e+00,        4.645974e+00,    1.017762e-01,  5.349221e+00,         1,0,    3.623577e+01,  2.259843e+01,      1.182527e+01,  3.261219e+01,0,             14,              1,                   5,                   1,   1.547516e+01,      1.547516e+01,  5.78647297e+00,   0.000000e+00,  6.563188e-02,  2.118343e+04,  2.267139e+04,     5.800161e-01,1,0,0
