    INT     ,    INT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     INT      ,    FLOAT     ,     INT      ,     FLOAT      ,     FLOAT      ,   INT   ,   INT   ,       BOOL       ,    BOOL     ,    BOOL     
     -      ,     -      ,      AU      ,       -        ,     Msol     ,      -       ,     Msol     ,      -       ,      Myr       ,      Myr       ,    -    ,    -    ,      State       ,    Event    ,    Event    
     ID     ,    SEED    ,Separation@DCO,Eccentricity@DCO,    Mass_1    ,Stellar_Type_1,    Mass_2    ,Stellar_Type_2,Coalescence_Time,      Time      ,MT_Case_1,MT_Case_2,Merges_Hubble_Time,Recycled_NS_1,Recycled_NS_2
     4240932,  1797223490,  2.548590e+00,    1.111083e-01,  1.680842e+01,            14,  2.234405e+01,            14,  8.85804384e+08,  5.07614528e+00,        2,        2,0,0,0
     5583840,  1797223552,  2.985755e-02,    6.784217e-02,  1.036036e+01,            14,  1.624420e+01,            14,  5.63815821e+01,  6.87917580e+00,        2,        2,1,0,0
     8835003,  1797223677,  3.103806e-01,    9.312045e-02,  1.324737e+01,            14,  2.145226e+01,            14,  2.94518918e+05,  5.75140509e+00,        2,        2,0,0,0
    15788050,  1797223832,  1.118188e+00,    9.170029e-01,  1.406055e+01,            14,  1.611039e+00,            13,  2.67722808e+06,  1.22740578e+01,        0,        2,0,0,0
    16570404,  1797223868,  2.233600e-02,    2.909962e-01,  3.717221e+00,            14,  6.017969e+00,            14,  2.67929580e+02,  8.22033875e+00,        2,        0,1,0,0
    24468531,  1797224099,  5.104545e-02,    3.057193e-01,  1.301729e+01,            14,  2.605884e+00,            13,  2.90170820e+03,  8.67555224e+00,        2,        2,1,0,0
