    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
           3,  1797223313,  2.735680e+01,  1.734045e+01,   5.379558e+01,     0.000000e+00,                     2.723025e-01,  -3.420008e-01,  2.525079e+00,          4.776582e-02,                     2.971476e-01,   1.162083e+00,  3.112238e+00,          4.978778e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            14,                  1,             1,    46
        5664,  1797223314,  8.857144e+00,  5.303865e+00,   8.369210e-02,     0.000000e+00,                     7.311355e-01,   6.576414e-01,  2.716396e+00,          5.353312e-01,                     4.478694e-01,   3.545683e-02,  2.964378e+00,          5.733630e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,             1,                  1,             1,    46
      418997,  1797223315,  6.537137e+00,  1.763756e+00,   1.171966e+01,     0.000000e+00,                     8.921528e-02,   3.850514e-01,  5.491965e+00,          3.805865e-01,                     2.228574e-01,  -4.648488e-01,  2.045572e+00,          1.562621e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            12,                  1,            15,    46
      425834,  1797223316,  6.213093e+00,  4.859812e+00,   3.482530e+01,     0.000000e+00,                     8.908661e-01,   2.979737e-01,  5.791934e+00,          4.667046e+00,                     5.872861e-01,  -1.262854e+00,  2.223652e+00,          1.783162e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            12,                  1,            15,    46
      433347,  1797223317,  1.410503e+01,  1.129951e+01,   1.515435e-01,     0.000000e+00,                     5.865996e-01,  -7.803604e-03,  5.342244e+00,          3.725228e+00,                     4.543073e-01,  -1.364491e+00,  1.885969e+00,          1.392819e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             7,    46
      465950,  1797223318,  1.201266e+01,  6.752145e+00,   8.507535e-01,     0.000000e+00,                     6.487979e-01,  -5.231953e-01,  9.204873e-01,          3.479829e+00,                     4.556825e-01,   2.744108e-01,  1.451986e+00,          3.407170e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
      470391,  1797223319,  6.045205e+00,  5.904663e+00,   4.141514e+01,     0.000000e+00,                     3.732170e-01,   2.277032e-01,  5.391542e+00,          5.654714e+00,                     2.513983e-01,   4.334457e-01,  5.709400e+00,          3.470375e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            15,    46
      482152,  1797223320,  6.137997e+00,  3.941976e+00,   2.800175e+01,     0.000000e+00,                     4.947641e-01,  -8.880934e-01,  5.291155e+00,          4.671241e+00,                     2.328444e-01,  -9.447439e-01,  1.960012e+00,          1.343547e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            11,                  1,            15,    46
