    INT     ,    INT     ,        FLOAT         ,         FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT      ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    , BOOL  ,     FLOAT      ,    FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      INT      ,      INT      ,        INT         ,        INT         ,     FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      BOOL      ,      BOOL      ,   BOOL   
     -      ,     -      ,        kms^-1        ,         kms^-1         ,         -          ,    kms^-1     ,        -        ,         -          ,       -        ,      -       ,    -     , State ,      Msol      ,     Msol     ,       Msol       ,     Msol     ,       Event       ,       -       ,     State     ,         -          ,         -          ,     Msol      ,       Msol       ,      Myr       ,       -       ,      -       ,     Rsol     ,     Rsol     ,     kms^-1      ,     State      ,     State      ,  Event   
     ID     ,    SEED    ,Drawn_Kick_Velocity_SN,Applied_Kick_Velocity_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Velocity(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Unbound,Mass_Total@CO_SN,   Mass_CP    ,Mass_CO_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,Stellar_Type_SN,Supernova_State,Stellar_Type_Prev_SN,Stellar_Type_Prev_CP,Mass_Core@CO_SN,Mass_He_Core@CO_SN,      Time      ,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,Systemic_Velocity,Hydrogen_Rich_SN,Hydrogen_Poor_SN,Runaway_CP
       47147,  2415991045,          4.622384e+01,            4.622384e+01,        0.000000e+00,   8.372199e+04,     5.521111e-01,        1.092027e+00,    6.897104e-01,  2.442421e+00,         2,0,    2.194222e+00,  4.187007e+00,      1.380197e+00,  1.260000e+00,1,             13,              1,                   8,                   1,   1.380197e+00,      2.194222e+00,  2.90906773e+01,   0.000000e+00,  4.050072e-01,  1.735183e+02,  1.404811e+02,     9.172551e+00,0,1,0
       65925,  2415991047,          2.992711e+02,            1.447944e+02,        5.161764e-01,   2.904134e+04,     4.985804e+00,        5.845665e+00,   -3.467451e-01,  4.240177e+00,         1,1,    2.431451e+01,  9.282726e+00,      7.247726e+00,  1.190513e+01,0,             14,              1,                   5,                   1,   9.273491e+00,      9.273491e+00,  8.13273869e+00,   0.000000e+00,  1.460712e+01,  7.592591e+03, -2.355102e+02,     0.000000e+00,1,0,1
       71734,  2415991048,          2.382987e+02,            0.000000e+00,        1.000000e+00,   2.344107e+05,     0.000000e+00,        2.104680e-01,    6.013256e-02,  8.963705e-01,         1,0,    1.631754e+01,  4.069466e+01,      1.232130e+01,  1.468578e+01,1,             14,              1,                   8,                   1,   1.232130e+01,      1.631754e+01,  5.04703136e+00,   0.000000e+00,  2.946444e-02,  1.977575e+02,  2.037612e+02,     4.929981e+00,0,1,0
       71734,  2415991048,          3.930303e+02,            7.887938e+00,        9.799305e-01,   2.511680e+05,     3.140503e-02,        1.962402e+00,   -6.914341e-01,  1.076284e+00,         1,0,    1.441400e+01,  1.468579e+01,      1.084053e+01,  1.273753e+01,1,             14,              2,                   8,                  14,   1.084053e+01,      1.441400e+01,  6.86849781e+00,   2.946444e-02,  8.939195e-02,  8.609232e+01,  9.406415e+01,     9.682397e+00,0,1,0
      483014,  2415991050,          3.577601e+02,            3.477742e+02,        2.791250e-02,   3.178410e+04,     1.094176e+01,        2.998148e+00,    4.419147e-01,  3.655605e+00,         1,1,    8.365248e+00,  7.813646e+00,      1.475160e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   2.359031e+00,      2.359031e+00,  3.89220494e+01,   0.000000e+00,  1.609019e+02,  3.052452e+03, -1.675468e+01,     0.000000e+00,1,0,1
      528110,  2415991052,          2.157182e+02,            8.115018e+01,        6.238140e-01,   6.243463e+04,     1.299762e+00,        1.076695e+00,   -1.069696e+00,  1.526469e+00,         1,1,    1.071317e+01,  2.533228e+01,      7.941929e+00,  6.488720e+00,1,             14,              1,                   8,                   1,   7.941929e+00,      1.071317e+01,  6.30467598e+00,   0.000000e+00,  1.989838e+00,  1.762460e+03, -1.589092e+03,     0.000000e+00,0,1,1
      549148,  2415991058,          6.324306e+02,            6.176527e+02,        2.336680e-02,   2.073756e+04,     2.978425e+01,        5.287221e+00,   -5.028033e-01,  5.415036e+00,         1,1,    9.759152e+00,  1.889361e+00,      1.873695e+00,  1.277584e+00,0,             13,              2,                   5,                   7,   2.874146e+00,      2.874146e+00,  3.53390645e+01,   0.000000e+00,  2.558466e+03,  5.162679e+03, -1.523524e+00,     0.000000e+00,1,0,1
      557025,  2415991059,          2.458478e+02,            2.062130e+02,        1.612168e-01,   2.767043e+04,     7.452471e+00,        2.834091e+00,   -7.786069e-02,  4.172220e+00,         1,1,    1.767724e+01,  4.097819e+00,      4.412079e+00,  3.546257e+00,0,             14,              2,                   5,                   8,   6.159521e+00,      6.159521e+00,  1.42284601e+01,   0.000000e+00,  5.696315e+01,  5.420602e+03, -3.948301e+01,     0.000000e+00,1,0,1
