    INT     ,    INT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     INT      ,    FLOAT     ,     INT      ,     FLOAT      ,     FLOAT      ,   INT   ,   INT   ,       BOOL       ,    BOOL     ,    BOOL     
     -      ,     -      ,      AU      ,       -        ,     Msol     ,      -       ,     Msol     ,      -       ,      Myr       ,      Myr       ,    -    ,    -    ,      State       ,    Event    ,    Event    
     ID     ,    SEED    ,Separation@DCO,Eccentricity@DCO,    Mass_1    ,Stellar_Type_1,    Mass_2    ,Stellar_Type_2,Coalescence_Time,      Time      ,MT_Case_1,MT_Case_2,Merges_Hubble_Time,Recycled_NS_1,Recycled_NS_2
       71734,  2415991048,  4.374425e-01,    8.939195e-02,  1.468579e+01,            14,  1.273753e+01,            14,  2.23939071e+06,  6.86849781e+00,        2,        2,0,0,0
     2505781,  2415991143,  6.649604e-02,    5.468403e-02,  1.518143e+01,            14,  1.471247e+01,            14,  9.35893689e+02,  5.93065404e+00,        2,        2,1,0,0
    13278832,  2415991498,  4.485034e+01,    4.732302e-02,  1.903675e+01,            14,  3.384841e+01,            14,  3.80456625e+13,  5.79349082e+00,        2,        0,0,0,0
    14703500,  2415991544,  7.687470e-01,    2.944979e-01,  7.502950e+00,            14,  1.651172e+01,            14,  2.72986582e+07,  6.21644857e+00,        2,        2,0,0,0
    16283240,  2415991590,  1.726942e+00,    9.253680e-02,  1.323153e+01,            14,  2.184068e+01,            14,  2.74800161e+08,  5.35784993e+00,        2,        2,0,0,0
    18929750,  2415991666,  4.547957e-01,    4.118147e-01,  5.645518e+00,            14,  1.490066e+01,            14,  4.09793412e+06,  6.63178884e+00,        2,        2,0,0,0
    19510821,  2415991699,  2.608673e-02,    8.357585e-02,  7.594485e+00,            14,  2.305101e+01,            14,  2.71817530e+01,  6.02322818e+00,        1,        2,1,0,0
    23259736,  2415991820,  4.653183e+01,    9.595940e-02,  1.703118e+01,            14,  3.336340e+01,            14,  5.11465804e+13,  5.82528181e+00,        2,        0,0,0,0
    25873821,  2415991905,  1.064529e-02,    7.564722e-01,  1.417403e+00,            13,  1.509078e+00,            13,  3.44753024e+01,  1.79080750e+01,        2,        2,1,1,0
    28391596,  2415991972,  3.556866e-01,    5.731509e-02,  1.837463e+01,            14,  2.833578e+01,            14,  2.10115410e+05,  4.96896454e+00,        2,        2,0,0,0
    28422959,  2415991979,  4.847552e+01,    1.108760e-01,  4.214258e+01,            14,  3.698810e+01,            14,  1.38239002e+13,  5.32291361e+00,        0,        0,0,0,0
