    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
           3,  2415991043,  6.848621e+00,  3.327102e+00,   7.284183e-02,     0.000000e+00,                     7.718065e-01,  -3.413048e-01,  3.795061e+00,          5.875030e-01,                     8.731595e-01,  -7.761233e-01,  5.199755e+00,          5.461001e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,             1,                  1,             1,    46
       40634,  2415991044,  1.113891e+01,  6.229422e+00,   7.534695e+00,     0.000000e+00,                     1.694439e-01,   2.274098e-01,  1.623645e+00,          6.221689e+00,                     8.436508e-01,  -8.117271e-01,  4.271994e+00,          4.337169e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,             8,                  1,            15,    46
       47147,  2415991045,  1.003510e+01,  4.049294e+00,   7.893955e-01,     0.000000e+00,                     5.015220e-01,   6.897104e-01,  2.442421e+00,          1.092027e+00,                     9.263322e-01,   6.614740e-02,  5.104244e+00,          2.207461e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            13,                  1,            10,    46
       54008,  2415991046,  5.712710e+00,  5.604882e+00,   3.269502e+01,     0.000000e+00,                     4.702017e-01,   3.210880e-02,  4.324395e-01,          2.783973e+00,                     8.034812e-01,   6.247504e-01,  1.266939e+00,          5.887024e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            15,    46
       65925,  2415991047,  2.431451e+01,  9.282726e+00,   3.530912e+01,     0.000000e+00,                     3.021867e-01,  -3.467451e-01,  4.240177e+00,          5.845665e+00,                     4.238395e-01,  -6.542318e-02,  3.956089e+00,          9.682793e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            14,                  1,             1,    46
       71734,  2415991048,  4.471445e+01,  2.464946e+01,   5.938518e-01,     0.000000e+00,                     1.766433e-01,   6.013256e-02,  8.963705e-01,          2.104680e-01,                     5.195481e-01,  -6.914341e-01,  1.076284e+00,          1.907478e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            14,                  1,            14,    46
       74731,  2415991049,  5.970725e+00,  4.508643e+00,   7.610435e-02,     0.000000e+00,                     2.073353e-01,  -6.506103e-01,  4.759305e-01,          1.117463e+00,                     9.822673e-01,   1.059914e+00,  1.670705e+00,          2.101791e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,             1,                  1,             1,    46
      483014,  2415991050,  8.365248e+00,  7.813646e+00,   1.419534e+01,     0.000000e+00,                     4.374706e-01,   4.419147e-01,  3.655605e+00,          2.998148e+00,                     9.591488e-02,   2.794152e-01,  4.761299e+00,          1.323104e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
