    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
           3,  1082808995,  7.937343e+00,  6.825806e+00,   6.353586e+01,     0.000000e+00,                     5.617121e-01,   1.540453e+00,  4.488017e+00,          5.836344e+00,                     2.140864e-01,   5.743957e-01,  2.264644e+00,          5.643456e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
        5592,  1082808996,  9.069508e+00,  2.564801e+00,   2.584517e-01,     0.000000e+00,                     6.173614e-01,   3.652735e-01,  6.162247e-01,          1.687332e+00,                     7.166168e-01,   3.297183e-01,  5.127640e+00,          6.035340e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            10,    46
       10177,  1082808997,  5.943358e+00,  2.194914e+00,   3.145315e+01,     0.000000e+00,                     5.219707e-01,   1.762248e-01,  1.014832e+00,          5.054988e+00,                     4.126176e-01,   7.078140e-01,  4.629576e+00,          2.802178e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            11,                  1,            15,    46
       17722,  1082808998,  5.749424e+00,  4.071915e+00,   6.294709e-01,     0.000000e+00,                     4.936158e-01,  -7.555546e-01,  4.164894e-01,          2.295239e+00,                     3.832289e-01,   4.911823e-01,  1.958982e+00,          1.294243e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            11,    46
       37335,  1082808999,  5.922825e+00,  3.029901e+00,   1.589410e+01,     0.000000e+00,                     3.627835e-03,  -5.877335e-01,  3.749751e+00,          4.500170e+00,                     3.048464e-01,  -5.348464e-01,  1.548713e+00,          1.016613e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            11,                  1,            15,    46
       45092,  1082809000,  1.129040e+01,  7.643602e+00,   4.678861e+00,     0.000000e+00,                     2.722483e-01,  -1.360994e+00,  3.052153e+00,          2.926699e+00,                     6.526295e-01,  -1.017840e+00,  3.507788e+00,          5.569172e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,             7,                  1,            15,    46
       48657,  1082809001,  1.167962e+01,  9.575209e+00,   7.472000e+01,     0.000000e+00,                     1.379756e-01,   1.686890e-01,  9.729311e-01,          8.883973e-01,                     7.822405e-01,   8.886312e-01,  8.234056e-01,          2.400448e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
       56082,  1082809002,  1.995444e+01,  1.522410e+01,   8.139169e-02,     0.000000e+00,                     3.441720e-01,  -2.670210e-01,  2.517644e+00,          3.548213e+00,                     3.597705e-01,   2.798360e-01,  1.040393e+00,          3.193882e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             1,    46
