    INT     ,    INT     ,        FLOAT         ,         FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT      ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    , BOOL  ,     FLOAT      ,    FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      INT      ,      INT      ,        INT         ,        INT         ,     FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      BOOL      ,      BOOL      ,   BOOL   
     -      ,     -      ,        kms^-1        ,         kms^-1         ,         -          ,    kms^-1     ,        -        ,         -          ,       -        ,      -       ,    -     , State ,      Msol      ,     Msol     ,       Msol       ,     Msol     ,       Event       ,       -       ,     State     ,         -          ,         -          ,     Msol      ,       Msol       ,      Myr       ,       -       ,      -       ,     Rsol     ,     Rsol     ,     kms^-1      ,     State      ,     State      ,  Event   
     ID     ,    SEED    ,Drawn_Kick_Velocity_SN,Applied_Kick_Velocity_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Velocity(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Unbound,Mass_Total@CO_SN,   Mass_CP    ,Mass_CO_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,Stellar_Type_SN,Supernova_State,Stellar_Type_Prev_SN,Stellar_Type_Prev_CP,Mass_Core@CO_SN,Mass_He_Core@CO_SN,      Time      ,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,Systemic_Velocity,Hydrogen_Rich_SN,Hydrogen_Poor_SN,Runaway_CP
           3,  1082808995,          4.939929e+01,            4.939929e+01,        0.000000e+00,   1.435121e+04,     3.442170e+00,        5.836344e+00,    1.540453e+00,  4.488017e+00,         2,1,    7.937343e+00,  6.825806e+00,      1.380620e+00,  1.260000e+00,0,             13,              1,                   5,                   1,   2.205670e+00,      2.205670e+00,  4.31462126e+01,   0.000000e+00,  2.236510e+01,  1.366224e+04, -6.391951e+02,     0.000000e+00,1,0,1
       48657,  1082809001,          2.161173e+02,            2.119928e+02,        1.908467e-02,   1.587884e+04,     1.335065e+01,        8.883973e-01,    1.686890e-01,  9.729311e-01,         1,1,    1.167962e+01,  9.575209e+00,      2.451035e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   3.618893e+00,      3.618893e+00,  2.14395696e+01,   0.000000e+00,  2.367802e+02,  1.606719e+04, -4.249993e+01,     0.000000e+00,1,0,1
      236625,  1082809007,          7.014553e+02,            3.490490e+01,        9.502393e-01,   6.642081e+04,     5.255115e-01,        3.810547e+00,   -4.634482e-01,  1.866439e+00,         1,0,    1.417031e+01,  1.908183e+01,      1.060419e+01,  1.218137e+01,1,             14,              1,                   8,                   1,   1.060419e+01,      1.417031e+01,  5.42282144e+00,   0.000000e+00,  4.530354e-01,  1.436585e+03,  1.538108e+03,     1.317796e+01,0,1,0
      236625,  1082809007,          4.843165e+02,            3.818540e+02,        2.115610e-01,   5.638025e+05,     6.772833e-01,        2.578007e-01,    8.188988e-01,  7.510554e-01,         1,1,    5.464672e+00,  1.218137e+01,      3.875721e+00,  1.908037e+00,1,             13,              2,                   8,                  14,   3.875721e+00,      5.464672e+00,  1.08817191e+01,   0.000000e+00,  1.648638e+00,  1.058067e+01, -1.569936e+01,     0.000000e+00,0,1,0
      612402,  1082809010,          4.380589e+02,            4.295555e+02,        1.941157e-02,   2.489285e+04,     1.725618e+01,        2.460183e+00,   -9.734590e-01,  4.542104e+00,         1,1,    1.150314e+01,  5.027777e+00,      2.394004e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   3.548889e+00,      3.548889e+00,  2.19832897e+01,   0.000000e+00,  6.428382e+02,  5.084724e+03, -6.580608e+00,     0.000000e+00,1,0,1
      622340,  1082809012,          3.442113e+02,            3.351613e+02,        2.629223e-02,   1.082185e+04,     3.097080e+01,        4.028294e+00,   -8.306219e-02,  9.339849e-01,         1,1,    8.806811e+00,  4.326993e+00,      1.599706e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   2.519708e+00,      2.519708e+00,  3.52769533e+01,   0.000000e+00,  1.443863e+03,  2.137508e+04, -9.157608e+00,     0.000000e+00,1,0,1
      673009,  1082809015,          2.837800e+02,            2.775560e+02,        2.193267e-02,   1.367141e+04,     2.030192e+01,        3.022141e+00,    6.425558e-01,  4.912363e+00,         1,1,    1.031882e+01,  2.734768e+00,      2.037580e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   3.087200e+00,      3.087200e+00,  2.64447050e+01,   0.000000e+00,  8.577287e+02,  1.331137e+04, -9.764890e+00,     0.000000e+00,1,0,1
     1128726,  1082809020,          5.564165e+02,            4.115916e+02,        2.602815e-01,   7.444783e+04,     5.528591e+00,        7.329711e-01,    3.905965e-01,  2.150326e-01,         1,1,    6.319571e+00,  2.621560e+01,      4.538025e+00,  2.232648e+00,1,             13,              1,                   8,                   1,   4.538025e+00,      6.319571e+00,  9.13705157e+00,   0.000000e+00,  4.585333e+01,  1.118843e+03, -2.457700e+01,     0.000000e+00,0,1,1
