    INT     ,    INT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     INT      ,    FLOAT     ,     INT      ,     FLOAT      ,     FLOAT      ,   INT   ,   INT   ,       BOOL       ,    BOOL     ,    BOOL     
     -      ,     -      ,      AU      ,       -        ,     Msol     ,      -       ,     Msol     ,      -       ,      Myr       ,      Myr       ,    -    ,    -    ,      State       ,    Event    ,    Event    
     ID     ,    SEED    ,Separation@DCO,Eccentricity@DCO,    Mass_1    ,Stellar_Type_1,    Mass_2    ,Stellar_Type_2,Coalescence_Time,      Time      ,MT_Case_1,MT_Case_2,Merges_Hubble_Time,Recycled_NS_1,Recycled_NS_2
     6151586,  1082809196,  7.604112e+00,    6.641415e-01,  1.115981e+01,            14,  6.242498e+00,            14,  1.15117056e+11,  6.81444573e+00,        2,        2,0,0,0
    20353817,  1082809611,  1.515408e-01,    4.570343e-01,  1.000268e+01,            14,  1.484443e+01,            14,  1.99405519e+04,  6.43817362e+00,        2,        2,0,0,0
    24367685,  1082809711,  6.192616e-02,    9.247869e-01,  1.277785e+00,            13,  1.277584e+00,            13,  1.56027042e+03,  2.80276561e+01,        2,        2,1,1,0
    25653729,  1082809745,  3.092627e-02,    5.139371e-01,  9.764423e+00,            14,  2.870999e+00,            13,  2.79327068e+02,  8.28458618e+00,        2,        2,1,0,0
    26659235,  1082809773,  7.465084e+01,    1.110528e-01,  4.313119e+01,            14,  3.389399e+01,            14,  8.51525256e+13,  5.63402869e+00,        0,        0,0,0,0
    27817162,  1082809812,  1.809720e-02,    6.975012e-02,  1.122065e+01,            14,  1.892222e+01,            14,  5.32000387e+00,  5.96673931e+00,        2,        2,1,0,0
    31643447,  1082809931,  9.105344e+01,    4.660234e-01,  1.781074e+01,            14,  3.100054e+01,            14,  3.42800231e+14,  6.11691952e+00,        2,        0,0,0,0
