    INT     ,    INT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     INT      ,    FLOAT     ,     INT      ,     FLOAT      ,     FLOAT      ,   INT   ,   INT   ,       BOOL       ,    BOOL     ,    BOOL     
     -      ,     -      ,      AU      ,       -        ,     Msol     ,      -       ,     Msol     ,      -       ,      Myr       ,      Myr       ,    -    ,    -    ,      State       ,    Event    ,    Event    
     ID     ,    SEED    ,Separation@DCO,Eccentricity@DCO,    Mass_1    ,Stellar_Type_1,    Mass_2    ,Stellar_Type_2,Coalescence_Time,      Time      ,MT_Case_1,MT_Case_2,Merges_Hubble_Time,Recycled_NS_1,Recycled_NS_2
     6334015,   706849739,  3.848983e+01,    7.313491e-02,  1.427874e+01,            14,  4.753327e+01,            14,  1.65723818e+13,  5.16259495e+00,        2,        0,0,0,0
     7570255,   706849747,  8.728362e-03,    1.280139e-01,  2.278879e+00,            13,  1.277584e+00,            13,  1.70490852e+02,  1.93665879e+01,        2,        2,1,1,0
     8789956,   706849778,  1.283206e+00,    3.142050e-02,  1.624796e+01,            14,  2.483057e+01,            14,  5.26600096e+07,  5.08937134e+00,        2,        2,0,0,0
     9967066,   706849812,  5.831899e-02,    2.698442e-01,  1.561265e+01,            14,  8.190378e+00,            14,  9.33211636e+02,  6.44025132e+00,        2,        2,1,0,0
    22187182,   706850116,  4.140757e-02,    4.268170e-01,  1.960201e+00,            13,  2.952268e+00,            13,  1.62177500e+04,  1.19674966e+01,        2,        0,0,0,0
    22634953,   706850123,  3.336069e+01,    1.108576e-01,  1.623329e+01,            14,  3.880249e+01,            14,  1.10360820e+13,  5.44735376e+00,        2,        0,0,0,0
    23510770,   706850158,  6.925082e-01,    8.310531e-02,  1.490220e+01,            14,  1.641721e+01,            14,  9.45398711e+06,  5.97658584e+00,        2,        2,0,0,0
    23519472,   706850160,  2.291648e-02,    3.831424e-01,  2.097568e+00,            13,  6.828198e+00,            14,  3.93371475e+02,  1.01328142e+01,        2,        2,1,0,0
    24673254,   706850206,  1.238990e+00,    2.234788e-01,  1.153172e+01,            14,  1.961032e+01,            14,  8.97280505e+07,  5.53546032e+00,        2,        2,0,0,0
    31489675,   706850385,  1.771857e-01,    9.345717e-01,  4.366136e+00,            14,  1.277584e+00,            13,  8.84414158e+03,  9.29102746e+00,        2,        2,1,0,0
    33189501,   706850421,  3.510682e-01,    4.215867e-02,  1.854314e+01,            14,  2.584453e+01,            14,  2.29246669e+05,  5.22699945e+00,        2,        2,0,0,0
