    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
           3,   706849501,  5.746076e+00,  3.936317e+00,   1.978020e+01,     0.000000e+00,                     1.356007e-01,  -6.612247e-01,  4.206935e+00,          4.358105e+00,                     6.341729e-01,  -6.150986e-01,  2.070420e-01,          1.444019e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            11,                  1,            15,    46
        7976,   706849502,  7.787541e+00,  5.529550e+00,   1.651868e+01,     0.000000e+00,                     6.857928e-01,   9.978505e-01,  4.196690e+00,          5.716670e+00,                     9.738327e-01,  -4.019730e-01,  6.504009e-01,          2.525001e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
       13561,   706849503,  1.631009e+01,  3.615716e+00,   8.657105e-02,     0.000000e+00,                     5.991500e-01,   1.125769e+00,  6.038049e+00,          4.472611e+00,                     4.248931e-01,   1.262203e+00,  3.758783e+00,          4.490930e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             1,    46
       29748,   706849504,  5.354424e+00,  3.866511e+00,   5.944146e-01,     0.000000e+00,                     5.573702e-01,   4.517042e-01,  6.122313e+00,          2.476061e+00,                     1.491451e-01,  -5.438112e-01,  7.043687e-01,          3.984560e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            11,    46
       49281,   706849505,  6.829866e+00,  3.956261e+00,   3.554038e-01,     0.000000e+00,                     7.269232e-01,  -1.485142e-01,  4.793080e+00,          1.953916e+00,                     9.774484e-01,   6.616192e-01,  3.152023e+00,          4.076959e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,1,0,                  1,            11,                  1,             9,    46
       59950,   706849506,  2.659075e+01,  7.679156e+00,   2.817902e+01,     0.000000e+00,                     6.087050e-01,  -8.388380e-02,  4.399867e+00,          1.194637e+00,                     5.992384e-01,   4.456930e-01,  5.117319e+00,          2.777573e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            14,                  1,             1,    46
       65651,   706849507,  1.985098e+01,  1.137806e+01,   5.248280e+01,     0.000000e+00,                     6.721411e-01,  -2.900017e-01,  8.733793e-02,          6.084812e+00,                     4.811844e-01,   8.742401e-01,  2.539582e+00,          1.503310e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            14,                  1,             1,    46
       70424,   706849508,  6.883060e+00,  2.031336e+00,   9.139138e+00,     0.000000e+00,                     6.588877e-01,  -1.995537e-01,  4.377651e+00,          9.557138e-01,                     8.448404e-01,   9.421407e-02,  2.725343e+00,          6.636617e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            12,                  1,            15,    46
