    INT     ,    INT     ,        FLOAT         ,         FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT      ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    , BOOL  ,     FLOAT      ,    FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      INT      ,      INT      ,        INT         ,        INT         ,     FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      BOOL      ,      BOOL      ,   BOOL   
     -      ,     -      ,        kms^-1        ,         kms^-1         ,         -          ,    kms^-1     ,        -        ,         -          ,       -        ,      -       ,    -     , State ,      Msol      ,     Msol     ,       Msol       ,     Msol     ,       Event       ,       -       ,     State     ,         -          ,         -          ,     Msol      ,       Msol       ,      Myr       ,       -       ,      -       ,     Rsol     ,     Rsol     ,     kms^-1      ,     State      ,     State      ,  Event   
     ID     ,    SEED    ,Drawn_Kick_Velocity_SN,Applied_Kick_Velocity_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Velocity(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Unbound,Mass_Total@CO_SN,   Mass_CP    ,Mass_CO_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,Stellar_Type_SN,Supernova_State,Stellar_Type_Prev_SN,Stellar_Type_Prev_CP,Mass_Core@CO_SN,Mass_He_Core@CO_SN,      Time      ,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,Systemic_Velocity,Hydrogen_Rich_SN,Hydrogen_Poor_SN,Runaway_CP
        7976,   706849502,          5.653229e+01,            5.653229e+01,        0.000000e+00,   2.673163e+04,     2.114809e+00,        5.716670e+00,    9.978505e-01,  4.196690e+00,         2,1,    7.787541e+00,  5.529550e+00,      1.380014e+00,  1.260000e+00,0,             13,              1,                   5,                   1,   2.152547e+00,      2.152547e+00,  4.48308478e+01,   0.000000e+00,  6.616244e+00,  3.552045e+03, -5.451420e+02,     0.000000e+00,1,0,1
       59950,   706849506,          4.331674e+02,            1.674061e+02,        6.135302e-01,   3.283234e+04,     5.098816e+00,        1.194637e+00,   -8.388380e-02,  4.399867e+00,         1,1,    2.659075e+01,  7.679156e+00,      8.011250e+00,  1.516976e+01,0,             14,              1,                   5,                   1,   1.040222e+01,      1.040222e+01,  7.45502636e+00,   0.000000e+00,  5.126253e+00,  6.059392e+03, -1.792361e+02,     0.000000e+00,1,0,1
       65651,   706849507,          4.640725e+02,            3.296834e+02,        2.895866e-01,   2.296568e+04,     1.435548e+01,        6.084812e+00,   -2.900017e-01,  8.733793e-02,         1,1,    1.985098e+01,  1.137806e+01,      5.449322e+00,  6.004903e+00,0,             14,              1,                   5,                   1,   7.148105e+00,      7.148105e+00,  1.01474480e+01,   0.000000e+00,  4.189712e+02,  1.128548e+04, -2.691740e+01,     0.000000e+00,1,0,1
       85098,   706849510,          5.453953e+02,            5.344883e+02,        1.999839e-02,   2.055851e+04,     2.599839e+01,        3.571415e+00,   -1.412061e-02,  7.660481e-01,         1,1,    1.120080e+01,  8.379383e+00,      2.304041e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   3.429676e+00,      3.429676e+00,  2.29799952e+01,   0.000000e+00,  1.068891e+03,  8.829852e+03, -6.104434e+00,     0.000000e+00,1,0,1
       96960,   706849512,          2.741546e+02,            2.672081e+02,        2.533789e-02,   2.182751e+04,     1.224181e+01,        3.360205e+00,   -7.879816e-01,  8.306259e-01,         1,1,    9.093319e+00,  2.511130e+00,      1.681456e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   2.625229e+00,      2.625229e+00,  3.32220099e+01,   0.000000e+00,  4.301721e+02,  4.642332e+03, -9.364377e+00,     0.000000e+00,1,0,1
      114031,   706849515,          1.516202e+02,            1.477085e+02,        2.579971e-02,   3.478043e+04,     4.246885e+00,        4.734940e+00,   -1.012653e+00,  3.110117e+00,         1,1,    8.952025e+00,  1.347954e+00,      1.640768e+00,  1.277584e+00,0,             13,              2,                   5,                  11,   2.573068e+00,      2.573068e+00,  4.59839064e+01,   0.000000e+00,  5.603018e+01,  1.622880e+03, -2.948555e+01,     0.000000e+00,1,0,0
      125284,   706849516,          3.011180e+02,            2.756452e+02,        8.459407e-02,   8.673970e+04,     3.177844e+00,        5.208744e+00,    2.791455e-01,  4.775351e+00,         1,1,    3.564232e+00,  1.703563e+01,      2.405195e+00,  1.277584e+00,1,             13,              1,                   8,                   1,   2.405195e+00,      3.564232e+00,  1.59383058e+01,   0.000000e+00,  5.279147e+00,  5.218534e+02, -4.780219e+01,     0.000000e+00,0,1,1
      143015,   706849519,          6.167672e+01,            6.167672e+01,        0.000000e+00,   3.134789e+04,     1.967492e+00,        6.055365e+00,    5.793893e-01,  4.170246e+00,         2,1,    1.772596e+00,  9.215920e+00,      1.381521e+00,  1.260000e+00,1,             13,              1,                   9,                   1,   1.381521e+00,      1.772596e+00,  3.99225553e+01,   0.000000e+00,  1.626980e+00,  2.131289e+03, -1.605794e+03,     0.000000e+00,0,1,1
