    INT     ,    INT     ,        FLOAT         ,         FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT      ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    , BOOL  ,     FLOAT      ,    FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      INT      ,      INT      ,        INT         ,        INT         ,     FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      BOOL      ,      BOOL      ,   BOOL   
     -      ,     -      ,        kms^-1        ,         kms^-1         ,         -          ,    kms^-1     ,        -        ,         -          ,       -        ,      -       ,    -     , State ,      Msol      ,     Msol     ,       Msol       ,     Msol     ,       Event       ,       -       ,     State     ,         -          ,         -          ,     Msol      ,       Msol       ,      Myr       ,       -       ,      -       ,     Rsol     ,     Rsol     ,     kms^-1      ,     State      ,     State      ,  Event   
     ID     ,    SEED    ,Drawn_Kick_Velocity_SN,Applied_Kick_Velocity_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Velocity(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Unbound,Mass_Total@CO_SN,   Mass_CP    ,Mass_CO_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,Stellar_Type_SN,Supernova_State,Stellar_Type_Prev_SN,Stellar_Type_Prev_CP,Mass_Core@CO_SN,Mass_He_Core@CO_SN,      Time      ,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,Systemic_Velocity,Hydrogen_Rich_SN,Hydrogen_Poor_SN,Runaway_CP
        8044,  3616916389,          6.606954e+01,            6.606954e+01,        0.000000e+00,   2.315612e+04,     2.853222e+00,        6.009142e+00,   -4.138506e-01,  2.750906e+00,         2,1,    1.806952e+00,  6.672145e+00,      1.380787e+00,  1.260000e+00,1,             13,              1,                   9,                   1,   1.380787e+00,      1.806952e+00,  5.95387382e+01,   0.000000e+00,  3.201975e+00,  3.013964e+03, -1.156083e+03,     0.000000e+00,0,1,1
       22830,  3616916391,          2.096687e+02,            2.051199e+02,        2.169505e-02,   3.607829e+04,     5.685413e+00,        6.017368e+00,    5.880468e-01,  2.295150e+00,         1,1,    1.041869e+01,  1.006185e+01,      2.066775e+00,  1.277584e+00,0,             13,              1,                   5,                   4,   3.125576e+00,      3.125576e+00,  2.60040199e+01,   0.000000e+00,  3.505202e+01,  2.998952e+03, -6.399208e+01,     0.000000e+00,1,0,1
       35084,  3616916393,          4.072652e+02,            2.422281e+02,        4.052324e-01,   2.096949e+05,     1.155146e+00,        4.154495e+00,   -2.773447e-01,  2.608729e+00,         1,0,    8.219687e+00,  3.962409e+01,      6.017153e+00,  3.747202e+00,1,             14,              1,                   8,                   1,   6.017153e+00,      8.219687e+00,  7.42331619e+00,   0.000000e+00,  9.095823e-01,  2.073814e+02,  1.349945e+02,     1.173527e+01,0,1,0
       37015,  3616916394,          6.200712e+02,            6.051758e+02,        2.402194e-02,   3.147396e+04,     1.922783e+01,        5.859837e+00,   -1.968106e-01,  2.044439e+00,         1,1,    9.525723e+00,  9.035663e+00,      1.805086e+00,  1.277584e+00,0,             13,              1,                   5,                   4,   2.786305e+00,      2.786305e+00,  3.05000600e+01,   0.000000e+00,  2.865084e+02,  3.571311e+03, -5.630951e+00,     0.000000e+00,1,0,1
       44460,  3616916395,          4.161820e+02,            3.731689e+02,        1.033518e-01,   1.748326e+04,     2.134435e+01,        2.210503e-01,    9.190022e-02,  3.353737e+00,         1,1,    1.623082e+01,  8.792950e+00,      3.927039e+00,  2.408178e+00,0,             13,              1,                   5,                   1,   5.520341e+00,      5.520341e+00,  1.31025155e+01,   0.000000e+00,  9.035610e+02,  1.560371e+04, -1.686551e+01,     0.000000e+00,1,0,1
       49565,  3616916396,          3.643185e+01,            3.643185e+01,        0.000000e+00,   8.617139e+04,     4.227836e-01,        3.986704e+00,   -4.152664e-01,  7.967114e-01,         2,0,    2.193080e+00,  6.384022e+00,      1.380058e+00,  1.260000e+00,1,             13,              1,                   8,                   1,   1.380058e+00,      2.193080e+00,  2.89266878e+01,   0.000000e+00,  9.327679e-01,  2.201579e+02,  3.123619e+03,     1.255011e+01,0,1,0
       61671,  3616916398,          2.571134e+02,            2.327032e+02,        9.493939e-02,   1.871664e+05,     1.243296e+00,        3.806216e+00,   -2.277108e-01,  4.405559e-01,         1,1,    3.306607e+00,  6.744409e+00,      2.206046e+00,  1.277584e+00,1,             13,              1,                   8,                   1,   2.206046e+00,      3.306607e+00,  1.71906914e+01,   0.000000e+00,  4.799881e+00,  5.468573e+01, -1.389729e+01,     0.000000e+00,0,1,1
      485663,  3616916402,          2.026491e+02,            1.820696e+02,        1.015521e-01,   1.750690e+05,     1.039988e+00,        5.661065e+00,   -2.160706e-01,  5.948828e+00,         1,1,    3.169433e+00,  4.739610e+00,      2.100142e+00,  1.277584e+00,1,             13,              1,                   8,                   1,   2.100142e+00,      3.169433e+00,  1.82761073e+01,   0.000000e+00,  4.202269e+00,  4.918419e+01, -1.509402e+01,     0.000000e+00,0,1,1
