    INT     ,    INT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     INT      ,    FLOAT     ,     INT      ,     FLOAT      ,     FLOAT      ,   INT   ,   INT   ,       BOOL       ,    BOOL     ,    BOOL     
     -      ,     -      ,      AU      ,       -        ,     Msol     ,      -       ,     Msol     ,      -       ,      Myr       ,      Myr       ,    -    ,    -    ,      State       ,    Event    ,    Event    
     ID     ,    SEED    ,Separation@DCO,Eccentricity@DCO,    Mass_1    ,Stellar_Type_1,    Mass_2    ,Stellar_Type_2,Coalescence_Time,      Time      ,MT_Case_1,MT_Case_2,Merges_Hubble_Time,Recycled_NS_1,Recycled_NS_2
     6403908,  3616916581,  4.408876e-03,    8.227631e-01,  1.603905e+00,            13,  4.039808e+00,            14,  6.74065554e-02,  8.76677065e+00,        1,        2,1,1,0
     6754804,  3616916599,  2.022392e-01,    8.281992e-01,  1.219054e+01,            14,  2.448777e+00,            13,  2.27037016e+04,  9.04649650e+00,        2,        2,0,0,0
    15283267,  3616916894,  6.118264e+01,    1.578250e-01,  4.483827e+01,            14,  3.062446e+01,            14,  3.98488539e+13,  6.02874717e+00,        0,        0,0,0,0
    24539300,  3616917163,  3.282024e-01,    4.208086e-02,  1.364868e+01,            14,  2.365255e+01,            14,  3.09340688e+05,  5.42547464e+00,        2,        2,0,0,0
    33869152,  3616917381,  4.205405e-01,    4.067857e-02,  1.656524e+01,            14,  2.415229e+01,            14,  6.16495312e+05,  5.42069166e+00,        2,        2,0,0,0
