    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
           3,  3616916388,  5.378547e+00,  2.476002e+00,   1.791285e+01,     0.000000e+00,                     5.513238e-01,  -9.409746e-01,  1.964764e+00,          5.781095e+00,                     5.797472e-02,   1.125779e-01,  6.238875e+00,          1.071506e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            11,                  1,            15,    46
        8044,  3616916389,  6.790531e+00,  6.314621e+00,   2.982376e+00,     0.000000e+00,                     8.168997e-01,  -4.138506e-01,  2.750906e+00,          6.009142e+00,                     1.483349e-01,   5.509927e-01,  3.845481e+00,          5.179490e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
       15905,  3616916390,  8.410584e+00,  6.827869e+00,   3.658604e+00,     0.000000e+00,                     7.010386e-01,   4.251459e-01,  1.770752e+00,          3.360578e+00,                     3.164236e-01,   7.147776e-01,  3.313280e+00,          4.613249e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,             8,                  1,            15,    46
       22830,  3616916391,  1.041869e+01,  1.006185e+01,   1.394654e+01,     0.000000e+00,                     1.275902e-01,   5.880468e-01,  2.295150e+00,          6.017368e+00,                     2.413519e-02,  -3.347081e-01,  5.655292e+00,          3.455133e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             4,    46
       30691,  3616916392,  1.674390e+01,  1.552070e+01,   8.809227e-01,     0.000000e+00,                     9.498102e-01,  -8.798134e-01,  1.161388e+00,          2.564770e+00,                     5.702691e-01,  -2.712280e-01,  2.180253e+00,          3.387931e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             7,    46
       35084,  3616916393,  2.691581e+01,  2.092797e+01,   3.224235e-01,     0.000000e+00,                     5.518710e-01,  -2.773447e-01,  2.608729e+00,          4.154495e+00,                     4.538197e-01,  -1.291994e+00,  2.551553e+00,          1.533450e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            14,                  1,            15,    46
       37015,  3616916394,  9.525723e+00,  9.035663e+00,   1.660828e+01,     0.000000e+00,                     8.955409e-01,  -1.968106e-01,  2.044439e+00,          5.859837e+00,                     8.706412e-01,  -9.691181e-01,  5.099234e+00,          4.575563e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             4,    46
       44460,  3616916395,  1.623082e+01,  8.792950e+00,   7.256458e+01,     0.000000e+00,                     5.717570e-01,   9.190022e-02,  3.353737e+00,          2.210503e-01,                     8.646605e-01,   7.286307e-01,  5.388687e+00,          2.185149e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
