    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
           3,  1874497821,  7.896176e+00,  5.744007e+00,   8.379965e+01,     0.000000e+00,                     3.052459e-01,   5.093328e-01,  3.788323e+00,          2.796669e+00,                     4.533083e-01,   6.734858e-01,  3.081876e-01,          2.658839e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
        5596,  1874497822,  1.513568e+01,  5.787507e+00,   8.506839e+01,     0.000000e+00,                     4.499777e-01,  -1.923705e-01,  2.698784e+00,          9.873242e-01,                     3.769753e-01,   4.101669e-01,  3.748399e+00,          5.370430e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
       10785,  1874497823,  6.164852e+00,  5.299198e+00,   5.480124e+01,     0.000000e+00,                     9.910261e-01,  -1.125724e+00,  5.812871e+00,          5.084560e+00,                     2.004934e-01,   2.366543e-01,  2.459961e+00,          3.316742e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            15,                  1,             1,    46
       17510,  1874497824,  5.220755e+00,  2.823291e+00,   4.315849e+01,     0.000000e+00,                     6.339348e-01,   1.475176e-01,  2.499001e+00,          3.648828e+00,                     2.537670e-01,  -8.978167e-01,  3.851159e+00,          2.152728e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            11,                  1,            15,    46
       25075,  1874497825,  7.472292e+00,  6.584355e+00,   4.277264e+01,     0.000000e+00,                     8.437286e-03,   4.440467e-01,  5.669781e+00,          9.757566e-01,                     1.914546e-01,  -1.197962e+00,  4.917635e+00,          1.378598e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
       31084,  1874497826,  1.147344e+01,  9.852517e+00,   1.246315e-01,     0.000000e+00,                     8.937144e-01,  -1.022987e+00,  2.617784e+00,          3.325224e+00,                     7.315701e-01,   6.418974e-01,  3.424891e+00,          3.315845e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             7,    46
       94065,  1874497827,  7.996361e+00,  5.515552e+00,   2.775936e-01,     0.000000e+00,                     3.340176e-01,   5.603933e-01,  2.169020e+00,          2.147585e+00,                     9.161816e-01,   9.639870e-01,  4.848254e+00,          2.998846e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            11,    46
      104390,  1874497828,  9.173685e+00,  5.872928e+00,   1.484689e-01,     0.000000e+00,                     4.731229e-02,  -1.299621e+00,  3.863945e+00,          6.043969e+00,                     2.032056e-01,   5.785746e-02,  9.361835e-01,          6.156402e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            10,    46
