    INT     ,    INT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     INT      ,    FLOAT     ,     INT      ,     FLOAT      ,     FLOAT      ,   INT   ,   INT   ,       BOOL       ,    BOOL     ,    BOOL     
     -      ,     -      ,      AU      ,       -        ,     Msol     ,      -       ,     Msol     ,      -       ,      Myr       ,      Myr       ,    -    ,    -    ,      State       ,    Event    ,    Event    
     ID     ,    SEED    ,Separation@DCO,Eccentricity@DCO,    Mass_1    ,Stellar_Type_1,    Mass_2    ,Stellar_Type_2,Coalescence_Time,      Time      ,MT_Case_1,MT_Case_2,Merges_Hubble_Time,Recycled_NS_1,Recycled_NS_2
     3632750,  1874497928,  1.032388e+02,    2.865084e-02,  3.883498e+01,            14,  3.735622e+01,            14,  3.31010037e+14,  5.29042781e+00,        0,        0,0,0,0
     3931573,  1874497957,  1.927915e+00,    6.846595e-02,  1.332421e+01,            14,  1.357349e+01,            14,  9.01814364e+08,  6.11436216e+00,        2,        2,0,0,0
     6503683,  1874498063,  1.141318e+00,    4.377790e-01,  1.402154e+01,            14,  4.656139e+00,            14,  2.09467343e+08,  7.95354458e+00,        2,        2,0,0,0
    25056685,  1874498593,  8.127305e+01,    5.902098e-02,  3.467833e+01,            14,  3.296899e+01,            14,  1.79929323e+14,  5.74234103e+00,        0,        0,0,0,0
    31814141,  1874498769,  2.554246e+01,    2.022176e-01,  3.159879e+01,            14,  3.014860e+01,            14,  2.00813345e+12,  6.05093361e+00,        0,        0,0,0,0
    34319235,  1874498817,  2.404377e-02,    3.547431e-01,  2.188024e+00,            13,  7.170841e+00,            14,  4.52522733e+02,  9.94221553e+00,        2,        2,1,0,0
