    INT     ,    INT     ,        FLOAT         ,         FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT      ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    , BOOL  ,     FLOAT      ,    FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      INT      ,      INT      ,        INT         ,        INT         ,     FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      BOOL      ,      BOOL      ,   BOOL   
     -      ,     -      ,        kms^-1        ,         kms^-1         ,         -          ,    kms^-1     ,        -        ,         -          ,       -        ,      -       ,    -     , State ,      Msol      ,     Msol     ,       Msol       ,     Msol     ,       Event       ,       -       ,     State     ,         -          ,         -          ,     Msol      ,       Msol       ,      Myr       ,       -       ,      -       ,     Rsol     ,     Rsol     ,     kms^-1      ,     State      ,     State      ,  Event   
     ID     ,    SEED    ,Drawn_Kick_Velocity_SN,Applied_Kick_Velocity_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Velocity(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Unbound,Mass_Total@CO_SN,   Mass_CP    ,Mass_CO_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,Stellar_Type_SN,Supernova_State,Stellar_Type_Prev_SN,Stellar_Type_Prev_CP,Mass_Core@CO_SN,Mass_He_Core@CO_SN,      Time      ,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,Systemic_Velocity,Hydrogen_Rich_SN,Hydrogen_Poor_SN,Runaway_CP
           3,  1874497821,          3.607669e+01,            3.607669e+01,        0.000000e+00,   1.201150e+04,     3.003511e+00,        2.796669e+00,    5.093328e-01,  3.788323e+00,         2,1,    7.896176e+00,  5.744007e+00,      1.381374e+00,  1.260000e+00,0,             13,              1,                   5,                   1,   2.191042e+00,      2.191042e+00,  4.35987050e+01,   0.000000e+00,  7.867165e+00,  1.801961e+04, -1.924190e+03,     0.000000e+00,1,0,1
        5596,  1874497822,          3.630906e+02,            3.411631e+02,        6.039115e-02,   1.476516e+04,     2.310595e+01,        9.873242e-01,   -1.923705e-01,  2.698784e+00,         1,1,    1.513568e+01,  5.787507e+00,      3.559219e+00,  1.872565e+00,0,             13,              1,                   5,                   1,   5.046964e+00,      5.046964e+00,  1.44339066e+01,   0.000000e+00,  1.212361e+03,  1.829243e+04, -1.357942e+01,     0.000000e+00,1,0,1
       25075,  1874497825,          9.594259e+00,            9.594259e+00,        0.000000e+00,   1.706736e+04,     5.621409e-01,        9.757566e-01,    4.440467e-01,  5.669781e+00,         2,1,    7.472292e+00,  6.584355e+00,      1.380238e+00,  1.260000e+00,0,             13,              1,                   6,                   1,   1.380238e+00,      1.380238e+00,  4.92304229e+01,   0.000000e+00,  2.795745e+00,  9.197489e+03, -4.982906e+03,     0.000000e+00,1,0,1
      110331,  1874497829,          2.327025e+02,            2.263332e+02,        2.737121e-02,   1.956869e+04,     1.156609e+01,        5.836638e-01,   -5.973869e-01,  1.139575e+00,         1,1,    8.506947e+00,  4.729609e+00,      1.513359e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   2.410330e+00,      2.410330e+00,  3.76819249e+01,   0.000000e+00,  2.152948e+02,  6.588270e+03, -2.107683e+01,     0.000000e+00,1,0,1
      116064,  1874497830,          5.751782e+02,            5.591649e+02,        2.784060e-02,   1.353070e+04,     4.132565e+01,        3.542099e+00,   -8.877287e-01,  1.810827e+00,         1,1,    8.383753e+00,  7.616631e+00,      1.479630e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   2.365716e+00,      2.365716e+00,  3.87558694e+01,   0.000000e+00,  2.405295e+03,  1.665750e+04, -5.461874e+00,     0.000000e+00,1,0,1
      131798,  1874497832,          5.259220e+02,            4.993639e+02,        5.049807e-02,   3.021654e+04,     1.652618e+01,        5.613528e-01,   -3.349505e-01,  4.979591e+00,         1,1,    1.491270e+01,  5.028711e+00,      3.484930e+00,  1.680627e+00,0,             13,              1,                   5,                   1,   4.951743e+00,      4.951743e+00,  1.47414746e+01,   0.000000e+00,  3.724168e+02,  4.162806e+03, -4.972200e+00,     0.000000e+00,1,0,1
      155054,  1874497836,          4.622648e+02,            4.050491e+02,        1.237724e-01,   2.801135e+04,     1.446018e+01,        2.988826e+00,   -8.429081e-01,  6.024440e+00,         1,1,    1.676916e+01,  1.436093e+01,      4.099920e+00,  2.677129e+00,0,             13,              1,                   5,                   1,   5.756423e+00,      5.756423e+00,  1.25399266e+01,   0.000000e+00,  4.112910e+02,  7.561924e+03, -1.818425e+01,     0.000000e+00,1,0,1
      712536,  1874497840,          6.404505e+02,            5.626632e+02,        1.214571e-01,   7.621228e+04,     7.382842e+00,        5.865410e-01,    9.872951e-01,  8.379537e-01,         1,1,    2.846672e+00,  1.653505e+01,      1.850841e+00,  1.277584e+00,1,             13,              1,                   8,                   1,   1.850841e+00,      2.846672e+00,  2.05848627e+01,   0.000000e+00,  6.022206e+01,  6.360078e+02, -9.888563e+00,     0.000000e+00,0,1,1
