    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
       88820,  4079225136,  1.614264e+01,  4.194104e+00,   2.641380e+00,     0.000000e+00,                     1.226825e-01,  -6.307667e-01,  4.609905e-01,          3.404473e+00,                     1.583238e-01,  -5.253148e-01,  3.768508e+00,          2.611742e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,             7,                  1,            15,    46
       91641,  4079225137,  5.086367e+00,  3.392995e+00,   1.403264e-01,     0.000000e+00,                     7.926287e-01,  -6.267435e-01,  2.350142e+00,          5.513259e+00,                     8.570064e-01,  -2.344994e-01,  6.187607e+00,          2.057975e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,1,0,                  1,            11,                  1,             8,    46
      101298,  4079225138,  9.148967e+00,  5.056577e+00,   4.761001e-02,     0.000000e+00,                     3.212630e-01,  -1.938646e-01,  1.587519e+00,          8.025008e-01,                     4.532693e-01,   7.209076e-01,  6.246222e+00,          3.642660e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             1,    46
      201549,  4079225139,  5.293434e+00,  1.903192e+00,   9.013151e-01,     0.000000e+00,                     7.223904e-01,  -1.963694e-01,  3.704069e-01,          1.696694e+00,                     8.054455e-01,   5.113663e-01,  5.263003e+00,          9.627848e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            10,                  1,            15,    46
      204102,  4079225140,  1.830263e+01,  1.120024e+01,   1.409838e+01,     0.000000e+00,                     5.369526e-01,   7.826544e-01,  1.281735e+00,          5.381031e+00,                     2.498786e-01,  -6.742123e-01,  5.728138e+00,          1.316492e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            14,                  1,             1,    46
      209031,  4079225141,  5.744880e+00,  4.622430e+00,   1.387962e-01,     0.000000e+00,                     5.323465e-01,  -3.009442e-01,  4.726456e+00,          2.605932e+00,                     2.716928e-01,   7.621095e-01,  6.163027e+00,          3.533347e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             7,    46
      211872,  4079225142,  6.081307e+00,  4.665142e+00,   1.968723e+00,     0.000000e+00,                     1.021781e-01,  -3.630517e-01,  1.634865e+00,          4.298926e+00,                     7.707086e-01,   6.388197e-01,  2.248787e+00,          3.867328e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,             8,                  1,            15,    46
      218009,  4079225143,  1.211580e+01,  7.665446e+00,   7.509378e+00,     0.000000e+00,                     1.461141e-01,   3.882222e-01,  3.605826e+00,          1.431407e+00,                     8.963399e-02,  -7.396917e-01,  4.164691e+00,          1.097728e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,             8,                  1,            15,    46
      225802,  4079225144,  5.908737e+00,  1.896367e+00,   1.959670e+00,     0.000000e+00,                     6.650498e-01,  -7.766964e-01,  3.793466e+00,          2.401727e+00,                     1.619510e-01,   4.565973e-02,  6.076079e+00,          3.250720e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,             8,                  1,            15,    46
      231135,  4079225145,  2.403799e+01,  8.915201e+00,   2.737844e+01,     0.000000e+00,                     2.570387e-01,  -2.619801e-01,  2.652814e+00,          2.033754e+00,                     2.247051e-01,   8.893986e-01,  1.208194e+00,          2.972060e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            14,                  1,             1,    46
