    INT     ,    INT     ,        FLOAT         ,         FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT      ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    , BOOL  ,     FLOAT      ,    FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      INT      ,      INT      ,        INT         ,        INT         ,     FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      BOOL      ,      BOOL      ,   BOOL   
     -      ,     -      ,        kms^-1        ,         kms^-1         ,         -          ,    kms^-1     ,        -        ,         -          ,       -        ,      -       ,    -     , State ,      Msol      ,     Msol     ,       Msol       ,     Msol     ,       Event       ,       -       ,     State     ,         -          ,         -          ,     Msol      ,       Msol       ,      Myr       ,       -       ,      -       ,     Rsol     ,     Rsol     ,     kms^-1      ,     State      ,     State      ,  Event   
     ID     ,    SEED    ,Drawn_Kick_Velocity_SN,Applied_Kick_Velocity_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Velocity(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Unbound,Mass_Total@CO_SN,   Mass_CP    ,Mass_CO_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,Stellar_Type_SN,Supernova_State,Stellar_Type_Prev_SN,Stellar_Type_Prev_CP,Mass_Core@CO_SN,Mass_He_Core@CO_SN,      Time      ,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,Systemic_Velocity,Hydrogen_Rich_SN,Hydrogen_Poor_SN,Runaway_CP
      470445,  4079225161,          1.200926e+02,            9.510060e+01,        2.081060e-01,   2.170670e+05,     4.381164e-01,        2.703127e+00,   -1.321129e-01,  2.606792e+00,         1,0,    5.388549e+00,  7.090649e+00,      3.817519e+00,  1.884501e+00,1,             13,              1,                   8,                   1,   3.817519e+00,      5.388549e+00,  1.04498215e+01,   0.000000e+00,  4.897819e-01,  5.047997e+01,  3.653263e+01,     3.282233e+01,0,1,0
      493244,  4079225164,          1.343995e+02,            1.311063e+02,        2.450239e-02,   2.483212e+04,     5.279708e+00,        4.419692e+00,   -2.131577e-01,  3.254663e+00,         1,1,    9.362468e+00,  9.058953e+00,      1.756702e+00,  1.277584e+00,0,             13,              1,                   5,                   4,   2.725237e+00,      2.725237e+00,  3.14784630e+01,   0.000000e+00,  3.189130e+01,  5.693974e+03, -1.825850e+02,     0.000000e+00,1,0,1
      500933,  4079225165,          6.161088e+02,            6.016453e+02,        2.347554e-02,   2.664754e+04,     2.257789e+01,        7.195126e-01,    3.347086e-01,  7.405760e-01,         1,1,    9.719506e+00,  4.065694e+00,      1.862726e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   2.859184e+00,      2.859184e+00,  2.94082624e+01,   0.000000e+00,  1.099146e+03,  3.700145e+03, -2.648762e+00,     0.000000e+00,1,0,1
      524740,  4079225168,          6.132593e+02,            5.177865e+02,        1.556810e-01,   7.027297e+04,     7.368217e+00,        6.045978e+00,    9.968408e-01,  1.537616e+00,         1,1,    2.484678e+00,  4.328164e+00,      1.570836e+00,  1.277584e+00,1,             13,              1,                   8,                   1,   1.570836e+00,      2.484678e+00,  2.46978294e+01,   0.000000e+00,  5.614039e+01,  2.629491e+02, -4.013324e+00,     0.000000e+00,0,1,1
      536746,  4079225170,          2.832748e+01,            2.832748e+01,        0.000000e+00,   1.139852e+04,     2.485190e+00,        1.973139e+00,    1.886521e-01,  2.163039e+00,         2,1,    6.923626e+00,  6.036132e+00,      1.380387e+00,  1.260000e+00,0,             13,              1,                   6,                   1,   1.380387e+00,      1.380387e+00,  5.79582697e+01,   0.000000e+00,  2.158332e+00,  1.901167e+04, -3.219174e+03,     0.000000e+00,1,0,1
      543131,  4079225171,          3.478889e+02,            3.399115e+02,        2.293078e-02,   2.505292e+04,     1.356774e+01,        1.447514e+00,   -7.825959e-01,  1.209064e+00,         1,1,    9.921900e+00,  6.665091e+00,      1.923933e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   2.935749e+00,      2.935749e+00,  2.83420418e+01,   0.000000e+00,  3.039245e+02,  5.036987e+03, -1.263234e+01,     0.000000e+00,1,0,1
      549164,  4079225172,          7.386142e+01,            7.386142e+01,        0.000000e+00,   1.342420e+04,     5.502109e+00,        6.729032e-01,   -2.284202e-01,  2.356796e+00,         2,1,    6.844003e+00,  4.725875e+00,      1.380761e+00,  1.260000e+00,0,             13,              1,                   6,                   1,   1.380761e+00,      1.380761e+00,  5.94117137e+01,   0.000000e+00,  2.814351e+01,  1.223691e+04, -2.794533e+02,     0.000000e+00,1,0,1
      576296,  4079225176,          3.693691e+02,            3.614470e+02,        2.144769e-02,   2.278228e+04,     1.586527e+01,        1.405796e+00,    6.560940e-02,  2.182005e+00,         1,1,    1.052502e+01,  4.316657e+00,      2.098123e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   3.166544e+00,      3.166544e+00,  2.55497242e+01,   0.000000e+00,  3.306628e+02,  5.450151e+03, -8.787259e+00,     0.000000e+00,1,0,1
      582393,  4079225177,          2.981214e+02,            2.897507e+02,        2.807808e-02,   3.792168e+04,     7.640766e+00,        2.891266e+00,   -1.385396e+00,  2.207110e+00,         1,1,    8.322994e+00,  9.439725e-01,      1.464980e+00,  1.277584e+00,0,             13,              2,                   5,                   7,   2.343783e+00,      2.343783e+00,  9.86514648e+01,   0.000000e+00,  2.370391e+02,  1.228237e+03, -5.145106e+00,     0.000000e+00,1,0,1
     1623964,  4079225190,          5.208381e+02,            5.055530e+02,        2.934713e-02,   1.950037e+04,     2.592530e+01,        1.172883e+00,    4.749249e-01,  5.629796e+00,         1,1,    1.271652e+01,  5.280598e+00,      2.775954e+00,  1.392539e+00,0,             13,              1,                   5,                   1,   4.036194e+00,      4.036194e+00,  1.87088343e+01,   0.000000e+00,  1.626981e+03,  9.020639e+03, -4.717607e+00,     0.000000e+00,1,0,1
