    INT     ,    INT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     INT      ,    FLOAT     ,     INT      ,     FLOAT      ,     FLOAT      ,   INT   ,   INT   ,       BOOL       ,    BOOL     ,    BOOL     
     -      ,     -      ,      AU      ,       -        ,     Msol     ,      -       ,     Msol     ,      -       ,      Myr       ,      Myr       ,    -    ,    -    ,      State       ,    Event    ,    Event    
     ID     ,    SEED    ,Separation@DCO,Eccentricity@DCO,    Mass_1    ,Stellar_Type_1,    Mass_2    ,Stellar_Type_2,Coalescence_Time,      Time      ,MT_Case_1,MT_Case_2,Merges_Hubble_Time,Recycled_NS_1,Recycled_NS_2
     3368126,  4079225250,  5.511612e-02,    8.172998e-01,  5.697978e+00,            14,  3.900968e+00,            14,  3.09157111e+02,  7.55469723e+00,        2,        2,1,0,0
     3928822,  4079225260,  1.155851e-01,    6.743243e-02,  1.384715e+01,            14,  1.981825e+01,            14,  6.13813035e+03,  6.15918734e+00,        2,        2,1,0,0
     7233162,  4079225330,  6.859271e-02,    3.650727e-01,  1.460936e+01,            14,  8.357123e+00,            14,  1.52206282e+03,  6.63950284e+00,        2,        2,1,0,0
     8216047,  4079225363,  9.572481e-02,    1.432042e-01,  3.443817e+00,            14,  1.210885e+01,            14,  3.87806586e+04,  8.16830120e+00,        2,        2,0,0,0
    12900751,  4079225469,  1.802572e-02,    6.218887e-01,  1.571039e+00,            13,  1.277584e+00,            13,  1.06022776e+03,  2.28334587e+01,        2,        2,1,1,0
    15361183,  4079225541,  7.323361e+01,    8.887541e-03,  3.420554e+01,            14,  3.353440e+01,            14,  1.19555278e+14,  5.67511587e+00,        0,        0,0,0,0
    16227886,  4079225562,  4.151431e-01,    9.945138e-02,  1.525517e+01,            14,  2.342419e+01,            14,  6.69660711e+05,  5.49579989e+00,        2,        2,0,0,0
    17189383,  4079225605,  3.333599e+01,    1.464108e-01,  3.113394e+01,            14,  2.110350e+01,            14,  1.07411152e+13,  6.69743878e+00,        0,        0,0,0,0
    19974760,  4079225698,  1.949782e-01,    1.105672e-01,  1.545342e+01,            14,  2.360716e+01,            14,  3.13267486e+04,  5.43565173e+00,        2,        2,0,0,0
    26755283,  4079225895,  1.639291e+00,    2.271160e-01,  1.254086e+01,            14,  1.339747e+01,            14,  4.41688660e+08,  6.24391653e+00,        2,        2,0,0,0
    28988093,  4079225969,  5.930104e+01,    1.101995e-01,  1.467804e+01,            14,  4.401602e+01,            14,  1.00759177e+14,  5.16717378e+00,        2,        0,0,0,0
    32677802,  4079226084,  3.112516e-01,    4.557066e-02,  1.644033e+01,            14,  2.638603e+01,            14,  1.61963314e+05,  5.19794009e+00,        2,        2,0,0,0
